#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
254,BitBay,BAY,8.30 십억,8.20,1.01 십억*,3.81 백만,0.83%,0.43%,-13.40%
255,Ruff,RUFF,8.29 십억,8.82,940.50 백만*,112.50 백만,-0.78%,2.26%,-2.49%
256,AurumCoin,AU,8.28 십억,27771.31,298.08 천,2.12 백만,0.01%,8.70%,20.14%
257,Apollo Currency,APL,8.23 십억,0.560731,14.69 십억*,223.68 백만,2.00%,7.66%,2.88%
258,Time New Bank,TNB,8.20 십억,3.16,2.59 십억*,498.08 백만,-0.55%,3.07%,-9.38%
259,Metal,MTL,8.13 십억,248.10,32.77 백만*,351.40 백만,0.05%,3.72%,-9.34%
260,Sakura Bloom,SKB,8.13 십억,3.15,2.58 십억*,554.60 백만,-0.10%,4.92%,29.96%
261,Insolar,INS,8.06 십억,248.07,32.50 백만*,741.25 백만,-0.29%,-3.01%,2.50%
262,DigitalNote,XDN,8.06 십억,1.16,6.93 십억,216.60 백만,-1.29%,0.17%,-14.35%
263,Crypterium,CRPT,8.02 십억,100.39,79.90 백만*,375.57 백만,0.01%,1.93%,8.57%
264,CasinoCoin,CSC,7.99 십억,0.222170,35.97 십억*,1.09 백만,-14.27%,1.47%,-11.64%
265,LEOcoin,LEO,7.98 십억,78.45,101.74 백만*,1.45 십억,1.03%,5.96%,-8.87%
266,TrueDeck,TDP,7.81 십억,776.97,10.05 백만 *,475.25 백만,1.56%,6.16%,8.70%
267,Timicoin,TMC,7.79 십억,25.31,307.89 백만*,8.63 백만,-0.05%,3.16%,-1.53%
268,Zipper,ZIP,7.79 십억,0.480966,16.20 십억*,1.24 십억,-0.03%,-0.55%,-16.96%
269,Edgeless,EDG,7.78 십억,79.55,97.82 백만*,73.81 백만,-0.06%,11.18%,12.24%
270,Steem Dollars,SBD,7.76 십억,611.87,12.69 백만*,1.41 십억,-0.02%,-7.64%,-12.75%
271,BOX Token,BOX,7.74 십억,101.63,76.13 백만*,2.07 십억,-0.05%,0.71%,-22.48%
272,NAGA,NGC,7.66 십억,128.69,59.52 백만*,29.00 백만,-1.32%,1.97%,-7.76%
273,Fantom,FTM,7.63 십억,6.01,1.27 십억*,575.24 백만,0.18%,2.41%,18.74%
274,Cred,LBA,7.63 십억,16.43,464.35 백만*,300.54 백만,-0.01%,2.72%,-9.82%
275,district0x,DNT,7.56 십억,12.61,600.00 백만*,343.27 백만,0.52%,3.00%,-19.39%
276,Loki,LOKI,7.47 십억,234.97,31.78 백만,18.34 백만,-4.29%,10.74%,-16.44%
277,IoT Chain,ITC,7.42 십억,118.41,62.69 백만*,635.01 백만,-1.44%,-3.89%,-4.92%
278,Loopring [NEO],LRN,7.31 십억,64.34,113.60 백만*,59.84 백만,0.80%,2.03%,-1.80%
279,Envion,EVN,7.27 십억,65.24,111.37 백만*,8.44 백만,5.61%,21.58%,32.75%
280,Wings,WINGS,7.24 십억,74.27,97.44 백만*,159.46 백만,-0.31%,1.58%,-5.01%
281,Cosmo Coin,COSM,7.23 십억,10.78,670.78 백만*,79.02 백만,-0.22%,-0.99%,-17.37%
282,ParkinGo,GOT,7.23 십억,695.21,10.40 백만*,6.41 백만,0.32%,0.73%,-2.11%
283,LockTrip,LOC,7.23 십억,777.57,9.29 백만*,800.85 백만,0.98%,3.55%,-2.94%
284,CyberVein,CVT,7.21 십억,6.80,1.06 십억*,64.76 백만,-1.03%,-5.33%,3.38%
285,AdEx,ADX,7.14 십억,97.29,73.43 백만*,248.30 백만,-0.36%,2.88%,-1.37%
286,SONM,SNM,7.13 십억,19.83,359.60 백만*,93.66 백만,-0.23%,0.88%,-11.50%
287,Modum,MOD,7.13 십억,335.08,21.27 백만*,93.74 백만,-0.12%,3.67%,-7.80%
288,Arcblock,ABT,7.09 십억,71.95,98.56 백만*,1.61 십억,2.51%,-5.34%,-12.87%
289,Propy,PRO,7.09 십억,124.30,57.01 백만*,172.28 백만,-1.34%,-1.55%,-14.99%
290,Internet Node...,INT,7.07 십억,19.17,368.76 백만*,565.39 백만,2.70%,6.03%,-0.71%
291,DATA,DTA,7.06 십억,0.961199,7.35 십억*,256.62 백만,-0.43%,1.29%,-8.56%
292,TokenCard,TKN,7.04 십억,294.21,23.92 백만*,2.58 백만,0.19%,0.12%,-8.11%
293,ToaCoin,TOA,7.03 십억,2.14,3.29 십억,19.35 백만,0.40%,3.90%,49.79%
294,WePower,WPR,6.95 십억,13.60,511.31 백만*,92.60 백만,0.06%,1.72%,-7.21%
295,Red Pulse Pho...,PHX,6.94 십억,8.36,829.59 백만*,249.33 백만,0.48%,3.30%,-15.28%
296,Nexty,NTY,6.91 십억,0.046309,149.31 십억,82.07 백만,-2.02%,-1.97%,-8.58%
297,Patron,PAT,6.88 십억,24.83,276.94 백만*,211.23 백만,1.76%,11.07%,42.42%
298,NIX,NIX,6.82 십억,161.83,42.17 백만,19.30 백만,0.03%,-0.40%,-23.97%
299,Viacoin,VIA,6.81 십억,294.57,23.11 백만,37.17 백만,2.33%,0.13%,-8.05%
300,Rotharium,RTH,6.77 십억,2015.76,3.36 백만*,53.29 백만,-1.19%,-7.34%,-17.10%
301,Tripio,TRIO,6.76 십억,3.00,2.25 십억*,291.52 백만,-0.03%,2.17%,1.11%
302,BitNewChain,BTN,6.73 십억,37.46,179.70 백만,14.48 백만,0.05%,17.82%,4.11%
303,GINcoin,GIN,6.64 십억,1507.43,4.40 백만,26.54 백만,0.07%,1.30%,-9.46%
304,Selfkey,KEY,6.61 십억,2.67,2.48 십억*,68.69 백만,-0.81%,2.25%,-8.90%
305,Covesting,COV,6.56 십억,374.64,17.50 백만*,4.51 백만,-0.16%,1.29%,-5.71%
306,Ecoreal Estate,ECOREAL,6.48 십억,41.20,157.36 백만*,1.62 백만,1.04%,33.86%,89.04%
307,Fortuna,FOTA,6.48 십억,13.72,472.35 백만*,747.39 백만,3.39%,2.54%,0.71%
308,OriginTrail,TRAC,6.48 십억,22.69,285.44 백만*,5.10 백만,0.84%,2.73%,-5.16%
309,Counterparty,XCP,6.42 십억,2455.44,2.62 백만*,10.39 백만,-0.79%,1.79%,-2.28%
310,DEW,DEW,6.41 십억,62.10,103.24 백만*,1.28 백만,1.07%,10.59%,-1.05%
311,XTRABYTES,XBY,6.37 십억,14.82,430.00 백만*,1.01 백만,0.06%,0.65%,-18.86%
312,Qubitica,QBIT,6.32 십억,2547.72,2.48 백만*,1.83 백만,-0.02%,2.77%,333.89%
313,Ripio Credit ...,RCN,6.30 십억,12.58,500.61 백만*,97.28 백만,0.09%,2.84%,-7.49%
314,SCRL,SCRL,6.29 십억,41.70,150.79 백만*,356.47 백만,0.23%,4.14%,-20.34%
315,Bitcore,BTX,6.29 십억,379.19,16.58 백만,206.05 백만,0.07%,25.38%,21.50%
316,Wabi,WABI,6.26 십억,116.79,53.64 백만*,67.62 백만,-0.04%,6.45%,-13.85%
317,VIBE,VIBE,6.25 십억,24.03,260.08 백만*,166.47 백만,0.47%,3.50%,-14.48%
318,LoyalCoin,LYL,6.23 십억,1.16,5.35 십억*,320.75 백만,-0.67%,-3.05%,-15.15%
319,Asch,XAS,6.23 십억,66.69,93.36 백만*,365.76 백만,4.16%,6.93%,6.30%
320,POA Network,POA,6.22 십억,28.26,220.17 백만*,111.43 백만,-0.32%,1.43%,-13.22%
321,Mobius,MOBI,6.19 십억,12.01,515.08 백만*,12.77 백만,-0.18%,3.91%,-10.15%
322,Stakenet,XSN,6.18 십억,82.69,74.79 백만*,95.97 백만,0.04%,1.22%,-20.68%
323,Cashaa,CAS,6.18 십억,10.23,604.36 백만*,88.34 백만,0.01%,5.33%,-16.66%
324,TTC Protocol,TTC,6.13 십억,21.89,279.94 백만*,337.35 백만,-0.26%,1.67%,-20.39%
325,CloakCoin,CLOAK,6.09 십억,1165.09,5.23 백만*,86.58 백만,-0.18%,1.70%,-8.27%
326,ZClassic,ZCL,6.08 십억,1103.58,5.51 백만,40.09 백만,-0.17%,5.19%,-9.00%
327,Achain,ACT,6.07 십억,7.69,789.37 백만*,229.31 백만,-0.31%,0.85%,-7.36%
328,Clams,CLAM,6.07 십억,1801.00,3.37 백만*,6.53 백만,0.01%,-0.77%,-10.27%
329,Tierion,TNT,5.92 십억,13.82,428.48 백만*,253.37 백만,0.22%,2.41%,0.79%
330,Hydro,HYDRO,5.90 십억,2.02,2.92 십억*,236.90 백만,-1.07%,-1.78%,-4.07%
331,SingularDTV,SNGLS,5.88 십억,9.79,600.00 백만*,184.26 백만,-0.04%,-0.31%,-16.38%
332,Litecoin Cash,LCC,5.84 십억,9.76,599.17 백만,198.11 백만,-0.16%,0.88%,-13.93%
333,Electra,ECA,5.79 십억,0.203844,28.38 십억,71.60 백만,1.14%,2.49%,-14.90%
334,EvenCoin,EVN,5.76 십억,305.88,18.82 백만*,137.38 백만,3.61%,-3.83%,113.80%
335,Content Neutr...,CNN,5.74 십억,0.147173,39.04 십억*,69.26 백만,-0.01%,2.90%,-10.74%
336,Primas,PST,5.72 십억,108.50,52.69 백만*,649.87 백만,3.40%,6.94%,12.72%
337,Dero,DERO,5.70 십억,961.73,5.92 백만,8.58 백만,-0.20%,0.56%,1.39%
338,Restart Energ...,MWAT,5.59 십억,12.34,452.75 백만*,36.97 백만,-0.80%,-4.15%,-6.32%
339,Pascal Coin,PASC,5.58 십억,232.43,24.00 백만,2.98 백만,-0.01%,4.08%,-16.62%
340,Travala.com,AVA,5.53 십억,157.47,35.09 백만*,9.11 백만,-1.29%,8.39%,21.58%
341,BitKan,KAN,5.46 십억,1.59,3.43 십억*,258.00 백만,0.14%,-0.43%,-18.99%
342,bitUSD,BITUSD,5.40 십억,799.32,6.75 백만*,16.68 백만,-0.43%,1.27%,-4.37%
343,NaPoleonX,NPX,5.35 십억,211.28,25.33 백만*,94.11 백만,0.44%,5.13%,-31.57%
344,Refereum,RFR,5.34 십억,2.15,2.48 십억*,887.93 백만,-0.90%,4.51%,-2.21%
345,Aeon,AEON,5.30 십억,334.78,15.83 백만,60.82 백만,-2.72%,20.61%,29.98%
346,Metadium,META,5.27 십억,4.86,1.09 십억*,274.58 백만,10.26%,17.69%,-10.61%
347,Metronome,MET,5.19 십억,593.94,8.74 백만*,293.37 백만,4.06%,5.10%,-13.59%
348,Primalbase Token,PBT,5.15 십억,4117608,1.25 천*,9.03 백만,-0.14%,-9.51%,17.35%
349,Linda,LINDA,5.06 십억,0.443929,11.39 십억,12.84 백만,0.03%,3.23%,-3.41%
350,QLC Chain,QLC,5.05 십억,21.03,240.00 백만*,310.14 백만,-0.30%,3.94%,1.81%
351,Lympo,LYM,5.04 십억,6.69,753.35 백만*,177.20 백만,0.07%,2.03%,-11.12%
352,Blox,CDT,5.01 십억,7.45,673.08 백만*,79.19 백만,-2.32%,-1.63%,-15.06%
353,ION,ION,5.01 십억,233.57,21.43 백만*,3.90 백만,-0.57%,0.75%,-5.08%
354,Primecoin,XPM,5.00 십억,193.13,25.89 백만,40.72 백만,7.56%,4.39%,-8.49%
355,smARTOFGIVING,AOG,4.97 십억,83.29,59.69 백만*,691.05 천,-0.01%,2.78%,-20.27%
356,Humanscape,HUM,4.96 십억,0.153348,32.32 십억*,42.43 백만,-0.07%,-2.83%,-1.35%
357,DECENT,DCT,4.95 십억,96.50,51.31 백만*,193.44 백만,0.77%,1.54%,0.63%
358,MediShares,MDS,4.94 십억,4.79,1.03 십억*,27.51 백만,-0.88%,2.85%,-8.95%
359,Six Domain Chain,SDA,4.93 십억,6.91,713.59 백만*,53.06 백만,9.94%,22.54%,34.91%
360,All Sports,SOC,4.89 십억,3.34,1.47 십억*,104.15 백만,0.10%,0.26%,-10.59%
361,IHT Real Esta...,IHT,4.88 십억,8.76,557.67 백만*,85.88 백만,-1.53%,-7.69%,-16.84%
362,PCHAIN,PAI,4.86 십억,6.55,741.79 백만*,189.10 백만,-0.43%,1.87%,-18.04%
363,doc.com Token,MTC,4.86 십억,16.01,303.49 백만*,357.32 백만,-3.66%,-1.66%,-20.89%
364,REPO,REPO,4.84 십억,44.02,109.96 백만*,3.49 백만,0.00%,1.29%,-18.84%
365,LGO Exchange,LGO,4.83 십억,37.81,127.64 백만*,18.18 백만,0.05%,2.30%,-7.22%
366,PACcoin,$PAC,4.82 십억,0.926092,5.21 십억,28.38 백만,0.12%,-2.43%,12.08%
367,VITE,VITE,4.81 십억,11.58,415.16 백만*,235.08 백만,-1.33%,-11.43%,-22.33%
368,Omnitude,ECOM,4.73 십억,90.84,52.07 백만*,103.66 백만,0.09%,1.96%,17.36%
369,Rublix,RBLX,4.73 십억,225.03,21.02 백만*,13.02 백만,0.18%,0.86%,-3.98%
370,Presearch,PRE,4.71 십억,30.36,155.00 백만*,14.32 백만,0.05%,1.27%,-12.23%
371,CrypticCoin,CRYP,4.67 십억,1.83,2.54 십억,249.09 백만,-1.13%,-0.79%,-31.06%
372,Storiqa,STQ,4.66 십억,0.474962,9.82 십억 *,274.44 백만,0.78%,4.83%,-33.54%
373,FLO,FLO,4.61 십억,30.96,148.96 백만,31.33 백만,5.84%,4.50%,23.05%
374,Blocktix,TIX,4.60 십억,115.03,40.00 백만*,426.63 백만,-0.35%,0.94%,-10.48%
375,Mercury,MER,4.57 십억,45.72,100.00 백만*,70.00 백만,0.25%,-2.92%,-20.41%
376,Haven Protocol,XHV,4.57 십억,716.05,6.38 백만*,76.76 백만,-1.15%,0.10%,-27.55%
377,Paragon,PRG,4.53 십억,68.74,65.94 백만*,40.84 백만,1.40%,12.77%,-10.11%
378,Bitcoin Green,BITG,4.52 십억,719.17,6.28 백만,16.09 백만,-0.67%,4.84%,-15.34%
379,Game.com,GTC,4.50 십억,5.91,761.44 백만*,547.61 백만,-0.83%,0.42%,-0.19%
380,SophiaTX,SPHTX,4.45 십억,23.04,193.23 백만*,213.47 백만,0.06%,-2.89%,-12.12%
381,SPINDLE,SPD,4.45 십억,1.25,3.55 십억*,16.00 백만,0.33%,0.18%,-5.98%
382,CPChain,CPC,4.45 십억,11.80,376.77 백만*,45.95 백만,-0.36%,-3.83%,1.99%
383,GameCredits,GAME,4.41 십억,63.13,69.84 백만,13.33 백만,0.09%,3.02%,-12.27%
384,Lamden,TAU,4.40 십억,30.91,142.22 백만*,19.16 백만,-1.57%,6.65%,25.68%
385,Apex,CPX,4.38 십억,9.77,448.34 백만*,251.93 백만,-0.50%,6.82%,-4.13%
386,LBRY Credits,LBC,4.36 십억,20.60,211.68 백만,12.50 백만,-0.08%,2.04%,-12.29%
387,Bottos,BTO,4.34 십억,8.50,509.99 백만*,202.55 백만,-1.61%,-1.18%,-6.88%
388,B2BX,B2B,4.32 십억,262.00,16.49 백만*,641.93 백만,-0.26%,16.51%,-28.10%
389,Everex,EVX,4.28 십억,213.09,20.08 백만*,355.68 백만,-0.02%,3.04%,-10.72%
390,LATOKEN,LA,4.27 십억,52.69,81.04 백만*,5.14 십억,-0.01%,2.04%,7.74%
391,Shift,SHIFT,4.27 십억,336.55,12.68 백만*,9.65 백만,-0.24%,7.64%,10.04%
392,MinexCoin,MNX,4.27 십억,901.39,4.73 백만,46.48 백만,0.49%,3.30%,35.81%
393,Bit-Z Token,BZ,4.25 십억,94.70,44.91 백만*,33.59 십억,-0.17%,2.47%,-12.65%
394,Global Curren...,GCR,4.25 십억,40.40,105.09 백만*,8.83 백만,-4.95%,30.40%,32.12%
395,YOYOW,YOYOW,4.23 십억,14.09,300.00 백만*,135.43 백만,0.18%,3.59%,-9.05%
396,Melon,MLN,4.22 십억,5424.56,778.24 천*,10.68 백만,1.23%,3.46%,-16.19%
397,DAPS Token,DAPS,4.21 십억,0.080656,52.17 십억*,11.24 백만,-0.88%,-13.50%,-35.89%
398,Dock,DOCK,4.21 십억,9.64,436.40 백만*,202.20 백만,-0.86%,2.25%,-12.57%
399,Etherparty,FUEL,4.19 십억,7.93,528.53 백만*,91.74 백만,-0.24%,3.06%,-7.80%
400,Happycoin,HPC,4.16 십억,236.98,17.55 백만,12.14 백만,0.04%,-10.03%,-22.77%
401,Seele,SEELE,4.16 십억,6.13,677.85 백만*,121.03 백만,2.32%,4.83%,-6.08%
402,Waves Communi...,WCT,4.16 십억,417.00,9.96 백만*,1.50 백만,0.86%,2.28%,22.66%
403,Polybius,PLBT,4.14 십억,1043.03,3.97 백만*,2.44 백만,-0.14%,-2.93%,-22.50%
404,Numeraire,NMR,4.12 십억,3055.50,1.35 백만*,9.11 백만,0.02%,-3.00%,-0.74%
405,Feathercoin,FTC,4.12 십억,18.66,220.78 백만,42.61 백만,-0.09%,4.54%,-6.86%
406,Peerplays,PPY,4.08 십억,907.31,4.49 백만*,252.04 백만,-0.03%,-1.16%,-15.48%
407,Viberate,VIB,4.06 십억,22.70,179.00 백만*,841.90 백만,0.13%,1.27%,-8.18%
408,Xaurum,XAUR,4.05 십억,42.34,95.58 백만*,12.38 백만,-1.25%,-0.98%,-5.40%
409,Unikoin Gold,UKG,4.04 십억,28.20,143.27 백만*,18.74 백만,-0.44%,2.16%,-0.20%
410,Robotina,ROX,4.04 십억,15.04,268.56 백만*,16.53 백만,-0.26%,3.11%,-8.76%
411,ALQO,XLQ,4.03 십억,70.17,57.41 백만,7.82 백만,-3.88%,8.95%,-21.92%
412,Bitcoin Atom,BCA,4.02 십억,218.88,18.38 백만,69.30 백만,0.18%,-5.13%,-7.05%
413,AppCoins,APPC,4.01 십억,40.09,100.05 백만*,34.48 백만,-0.67%,1.12%,-12.54%
414,AirSwap,AST,3.99 십억,26.62,150.00 백만*,212.16 백만,-0.18%,1.87%,-16.51%
415,Synthetix Net...,SNX,3.99 십억,59.10,67.48 백만*,88.53 백만,-0.83%,9.44%,10.69%
416,Monetha,MTH,3.96 십억,18.15,218.27 백만*,83.30 백만,0.18%,2.13%,-13.54%
417,Dignity,DIG,3.95 십억,7.55,523.04 백만*,93.03 백만,1.37%,2.06%,16.37%
418,TE-FOOD,TFD,3.91 십억,7.73,506.20 백만*,7.38 백만,-2.96%,-3.18%,-8.07%
419,Blue Whale Token,BWX,3.88 십억,0.120563,32.21 십억*,94.96 백만,-0.33%,-4.39%,-1.88%
420,SpankChain,SPANK,3.88 십억,12.94,300.04 백만*,8.64 백만,-3.13%,-2.55%,-22.98%
421,Cobinhood,COB,3.87 십억,9.92,390.35 백만*,15.30 백만,0.81%,3.82%,-2.11%
422,Digix Gold Token,DGX,3.85 십억,47168.58,81.52 천*,21.21 백만,0.39%,1.74%,-0.60%
423,Bulwark,BWK,3.82 십억,259.40,14.73 백만,10.19 백만,-0.03%,-1.88%,-18.25%
424,eosDAC,EOSDAC,3.74 십억,5.66,660.76 백만*,86.58 백만,-0.73%,2.11%,-5.36%
425,Bismuth,BIS,3.69 십억,257.38,14.35 백만,5.24 백만,-0.06%,1.71%,-7.82%
426,SwissBorg,CHSB,3.69 십억,6.40,575.82 백만*,44.84 백만,-0.55%,2.04%,3.51%
427,BANKEX,BKX,3.69 십억,39.49,93.32 백만*,551.41 백만,-9.08%,-18.95%,-17.61%
428,SpaceChain,SPC,3.67 십억,7.11,515.92 백만*,47.75 백만,-0.87%,-1.81%,19.24%
429,Everus,EVR,3.62 십억,7.06,512.82 백만 *,11.61 백만,0.36%,11.45%,-6.15%
430,HTMLCOIN,HTML,3.61 십억,0.068078,53.07 십억,30.25 백만,40.53%,28.07%,-4.20%
431,Ternio,TERN,3.60 십억,10.76,334.16 백만*,38.35 백만,-4.43%,-12.03%,-41.26%
432,ICE ROCK MINING,ROCK2,3.59 십억,228.32,15.70 백만*,4.65 백만,-0.03%,-0.44%,8.13%
433,BlackCoin,BLK,3.58 십억,57.26,62.47 백만*,63.88 백만,-4.94%,-5.41%,12.58%
434,ATN,ATN,3.52 십억,41.81,84.30 백만*,12.69 백만,0.46%,2.22%,0.08%
435,TV-TWO,TTV,3.52 십억,8.63,407.59 백만*,831.17 천,0.02%,19.44%,32.10%
436,NANJCOIN,NANJ,3.49 십억,0.180146,19.36 십억*,3.57 백만,-6.09%,-3.09%,1.85%
437,TaTaTu,TTU,3.49 십억,36.04,96.73 백만*,20.21 백만,0.01%,-1.56%,-17.62%
438,Callisto Network,CLO,3.48 십억,4.54,767.53 백만,184.81 백만,0.47%,3.87%,20.13%
439,BlockMason Cr...,BCPT,3.45 십억,34.31,100.68 백만*,362.32 백만,-0.30%,3.63%,-3.58%
440,HalalChain,HLC,3.45 십억,8.86,389.01 백만*,32.89 백만,-0.10%,-0.07%,14.50%
441,Lunyr,LUN,3.45 십억,1499.33,2.30 백만*,268.36 백만,0.08%,3.63%,-8.48%
442,Moneytoken,IMT,3.44 십억,0.364692,9.43 십억*,42.37 백만,-0.53%,13.22%,-23.11%
443,RevolutionVR,RVR,3.41 십억,16.26,210.00 백만*,22.15 백만,0.02%,2.95%,-10.14%
444,adToken,ADT,3.41 십억,5.68,600.00 백만*,82.80 백만,1.37%,5.80%,-8.14%
445,Phore,PHR,3.40 십억,218.86,15.54 백만*,151.80 백만,-0.09%,1.51%,-3.49%
446,INO COIN,INO,3.40 십억,170.05,20.00 백만*,2.03 십억,-0.09%,1.18%,-17.09%
447,SwftCoin,SWFTC,3.39 십억,0.930386,3.64 십억*,593.95 백만,-0.30%,1.07%,-4.87%
448,Aeron,ARN,3.39 십억,260.45,13.00 백만*,1.30 십억,-0.19%,3.26%,-6.03%
449,Sentinel Prot...,UPP,3.38 십억,14.42,234.54 백만*,2.58 십억,-1.38%,14.36%,-10.33%
450,Pepe Cash,PEPECASH,3.36 십억,4.78,701.88 백만*,727.40 천,-2.63%,1.48%,-16.79%
451,BrahmaOS,BRM,3.36 십억,5.42,619.27 백만*,18.85 백만,-6.37%,-3.19%,5.30%
452,BitTube,TUBE,3.30 십억,31.23,105.69 백만,28.92 백만,-1.66%,2.32%,-6.06%
453,Playgroundz,IOG,3.30 십억,115.44,28.55 백만*,1.36 십억,0.15%,1.11%,-11.10%
454,Diamond,DMD,3.27 십억,1070.68,3.05 백만,2.83 백만,0.02%,-2.28%,-11.65%
455,Flash,FLASH,3.26 십억,3.63,900.00 백만*,2.95 백만,1.01%,6.35%,-32.66%
456,BitCapitalVendor,BCV,3.24 십억,6.00,540.00 백만*,22.68 백만,1.61%,-3.83%,7.28%
457,DeepBrain Chain,DBC,3.15 십억,2.10,1.50 십억*,1.51 십억,0.81%,2.97%,-26.70%
458,Scorum Coins,SCR,3.12 십억,106.73,29.27 백만*,5.61 백만,0.93%,-5.37%,0.80%
459,SafeInsure,SINS,3.11 십억,2961.38,1.05 백만*,210.85 백만,0.79%,-8.67%,-7.61%
460,Zeepin,ZPT,3.10 십억,6.19,500.00 백만*,85.02 백만,0.65%,-3.78%,-15.84%
461,Smartshare,SSP,3.09 십억,0.674028,4.58 십억*,267.63 백만,4.85%,9.25%,-4.30%
462,AVINOC,AVINOC,3.09 십억,8.20,376.40 백만*,1.23 백만,0.05%,20.65%,-8.89%
463,QunQun,QUN,3.06 십억,4.25,719.83 백만*,191.33 백만,-0.06%,3.29%,-4.55%
464,Insureum,ISR,3.04 십억,17.46,174.16 백만*,109.95 백만,-0.47%,0.00%,3.14%
465,Hi Mutual Soc...,HMC,3.04 십억,7.51,404.10 백만*,138.40 백만,-1.07%,1.97%,-8.38%
466,Bean Cash,BITB,2.99 십억,1.14,2.62 십억*,8.78 백만,0.02%,5.83%,-1.88%
467,Bezop,BEZ,2.98 십억,58.63,50.78 백만*,995.76 백만,-0.08%,-4.56%,19.39%
468,DecentBet,DBET,2.98 십억,17.75,167.71 백만*,3.05 백만,0.39%,8.71%,20.05%
469,Hiveterminal ...,HVN,2.96 십억,7.21,410.96 백만*,1.17 백만,0.01%,1.53%,-10.55%
470,Ecobit,ECOB,2.96 십억,6.67,444.44 백만*,1.02 백만,0.04%,-21.82%,-23.88%
471,XinFin Network,XDCE,2.96 십억,0.763417,3.88 십억*,244.82 백만,0.25%,0.80%,-25.30%
472,WeShow Token,WET,2.95 십억,18.47,159.73 백만*,21.49 백만,-12.43%,-9.10%,-22.78%
473,Agrello,DLT,2.94 십억,34.23,85.98 백만*,64.56 백만,0.54%,5.71%,-6.84%
474,KickCoin,KICK,2.94 십억,5.42,542.57 백만*,85.56 백만,-1.43%,-5.07%,-18.76%
475,Ink,INK,2.94 십억,6.34,463.91 백만*,3.35 십억,-1.92%,-1.76%,-0.73%
476,Consensus,SEN,2.94 십억,1.83,1.61 십억*,34.84 백만,-0.04%,0.23%,-6.79%
477,Dimecoin,DIME,2.92 십억,0.005410,539.10 십억,2.91 백만,-1.81%,-5.38%,-2.19%
478,PotCoin,POT,2.91 십억,13.13,221.29 백만,5.92 백만,-4.34%,2.47%,6.38%
479,Vipstar Coin,VIPS,2.90 십억,0.085484,33.92 십억*,1.54 십억,-1.59%,10.31%,-25.97%
480,Eden,EDN,2.89 십억,3.52,819.99 백만*,151.85 백만,-0.65%,1.40%,-10.98%
481,Crown,CRW,2.89 십억,137.09,21.04 백만,10.76 백만,0.41%,3.34%,-12.03%
482,Zen Protocol,ZP,2.86 십억,177.08,16.15 백만,291.21 백만,-0.78%,-5.07%,-29.40%
483,NKN,NKN,2.86 십억,13.37,213.67 백만*,63.44 백만,1.14%,-2.64%,-19.41%
484,Change,CAG,2.85 십억,76.76,37.11 백만*,649.29 천,-0.03%,0.34%,8.92%
485,Polis,POLIS,2.85 십억,593.15,4.80 백만,7.07 백만,-0.30%,5.29%,-3.62%
486,0chain,ZCN,2.83 십억,70.66,40.11 백만*,20.40 백만,2.95%,-4.49%,-28.60%
487,GET Protocol,GET,2.81 십억,246.96,11.39 백만*,1.70 백만,-0.02%,0.64%,-2.37%
488,Soarcoin,SOAR,2.80 십억,2.59,1.08 십억*,1.96 백만,0.01%,4.46%,-2.59%
489,Myriad,XMY,2.79 십억,1.71,1.63 십억,4.30 백만,0.18%,4.74%,-1.47%
490,XEL,XEL,2.78 십억,30.32,91.68 백만*,10.08 백만,0.03%,-1.72%,-16.17%
491,GridCoin,GRC,2.78 십억,6.73,412.36 백만,4.82 백만,0.04%,11.29%,-2.77%
492,Olympus Labs,MOT,2.76 십억,72.10,38.35 백만*,156.41 백만,0.08%,1.52%,3.75%
493,Sentinel,SENT,2.74 십억,1.37,2.00 십억*,19.91 백만,0.27%,3.80%,-10.87%
494,Aurora DAO,AURA,2.73 십억,17.92,152.62 백만*,4.91 백만,-1.82%,9.02%,4.59%
495,SIX,SIX,2.73 십억,9.99,273.78 백만*,155.44 백만,0.95%,-4.25%,34.57%
496,DxChain Token,DX,2.70 십억,0.177288,15.20 십억*,99.17 백만,0.92%,7.02%,-12.99%
497,Graft,GRFT,2.68 십억,6.06,442.64 백만,7.82 백만,-1.22%,0.50%,-11.96%
498,IXT,IXT,2.68 십억,74.92,35.78 백만*,23.68 백만,5.49%,1.29%,38.99%
499,Blackmoon,BMC,2.67 십억,121.81,21.92 백만*,308.80 백만,0.05%,-0.30%,-7.48%
500,Etheroll,DICE,2.66 십억,380.62,7.00 백만*,14.88 백만,3.25%,-3.51%,-14.09%
501,DADI,DADI,2.66 십억,35.63,74.80 백만*,136.75 백만,-0.19%,-0.28%,-8.92%
502,Online,OIO,2.58 십억,2.94,877.66 백만*,13.95 백만,0.59%,5.14%,-14.47%
503,BaaSid,BAAS,2.57 십억,1.22,2.10 십억*,41.59 백만,0.05%,-1.74%,-35.84%
504,CEEK VR,CEEK,2.54 십억,3.71,686.20 백만*,117.52 백만,-1.39%,1.12%,-19.55%
505,Blockport,BPT,2.52 십억,47.72,52.87 백만*,111.31 백만,-0.23%,9.52%,6.82%
506,Distributed C...,DCC,2.50 십억,1.37,1.83 십억*,1.52 십억,-0.06%,-1.00%,-9.78%
507,Zebi,ZCO,2.50 십억,5.00,500.00 백만*,182.21 백만,-0.17%,6.14%,-9.75%
