#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
510,Business Cred...,BCAC,2.82 십억,6.36,442.81 백만*,23.71 백만,1.13%,11.89%,-7.15%
511,BaaSid,BAAS,2.81 십억,1.34,2.10 십억*,50.22 백만,-0.17%,-11.89%,-10.54%
512,Peculium,PCL,2.80 십억,1.43,1.97 십억*,93.82 백만,-0.28%,14.58%,21.57%
513,Lendingblock,LND,2.79 십억,4.62,604.32 백만*,136.18 백만,-1.74%,5.69%,4.74%
514,SIX,SIX,2.79 십억,10.19,273.78 백만*,168.27 백만,0.78%,-3.93%,26.19%
515,CEEK VR,CEEK,2.78 십억,4.05,686.20 백만*,23.67 백만,-0.10%,41.43%,-6.51%
516,BitDice,CSNO,2.77 십억,39.51,70.00 백만*,3.92 백만,-0.24%,12.64%,12.39%
517,Dimecoin,DIME,2.72 십억,0.005041,539.10 십억,4.47 백만,-0.34%,5.42%,-8.35%
518,MonetaryUnit,MUE,2.71 십억,18.57,145.84 백만,41.84 백만,-1.65%,16.31%,-13.29%
519,Pal Network,PAL,2.70 십억,5.89,459.40 백만*,241.45 백만,0.70%,7.89%,13.88%
520,FansTime,FTI,2.70 십억,0.948646,2.85 십억*,40.82 백만,6.46%,6.92%,2.65%
521,Distributed C...,DCC,2.63 십억,1.44,1.83 십억*,2.62 십억,-0.02%,44.66%,3.22%
522,DxChain Token,DX,2.62 십억,0.172623,15.20 십억*,125.26 백만,-0.11%,-0.26%,-11.30%
523,OAX,OAX,2.62 십억,104.72,25.01 백만*,2.36 십억,0.41%,21.50%,19.54%
524,Blockport,BPT,2.59 십억,49.06,52.87 백만*,116.84 백만,-0.10%,5.94%,4.74%
525,Yocoin,YOC,2.59 십억,8.05,321.95 백만,69.76 백만,1.47%,15.67%,25.61%
526,Switcheo,SWTH,2.58 십억,4.94,522.69 백만*,61.71 백만,2.38%,12.82%,-5.66%
527,TaaS,TAAS,2.57 십억,315.55,8.15 백만*,987.95 천,-0.16%,8.55%,19.23%
528,CanonChain,CZR,2.57 십억,5.29,485.97 백만*,137.37 백만,0.29%,33.59%,-17.67%
529,HempCoin,THC,2.57 십억,10.51,244.17 백만,7.40 백만,-0.61%,2.88%,-1.13%
530,EDUCare,EKT,2.56 십억,5.69,450.00 백만*,106.09 백만,-2.93%,6.86%,15.99%
531,DIMCOIN,DIM,2.56 십억,1.22,2.10 십억*,171.09 백만,-0.34%,6.48%,2.04%
532,ThoreCoin,THR,2.54 십억,29574.44,85.91 천*,31.47 백만,-1.68%,5.89%,2.58%
533,DeepOnion,ONION,2.54 십억,157.57,16.12 백만,16.36 백만,-0.81%,14.28%,23.83%
534,Radium,RADS,2.52 십억,708.81,3.56 백만*,16.12 백만,0.68%,4.57%,-2.19%
535,Stealth,XST,2.51 십억,82.07,30.56 백만,5.06 백만,-0.18%,16.09%,1.84%
536,MARK.SPACE,MRK,2.48 십억,4.54,547.34 백만*,127.65 백만,-0.59%,12.02%,10.65%
537,Divi,DIVI,2.46 십억,3.37,729.59 백만,14.45 백만,1.36%,10.88%,-18.83%
538,CargoX,CXO,2.45 십억,18.98,129.07 백만*,40.05 백만,-0.15%,14.91%,16.29%
539,Brickblock,BBK,2.44 십억,32.49,75.13 백만*,56.39 백만,-0.01%,8.06%,-13.46%
540,YEE,YEE,2.43 십억,1.78,1.37 십억*,793.17 백만,-0.43%,6.75%,-8.24%
541,Electrify.Asia,ELEC,2.42 십억,5.10,475.34 백만*,36.23 백만,0.26%,5.12%,-14.86%
542,Global Social...,GSC,2.42 십억,5.10,474.42 백만*,271.38 백만,0.34%,35.74%,20.59%
543,Ulord,UT,2.42 십억,52.51,46.04 백만*,266.31 백만,-0.29%,7.08%,4.00%
544,EBCoin,EBC,2.40 십억,0.642731,3.74 십억*,16.02 백만,3.99%,8.88%,9.15%
545,PolySwarm,NCT,2.40 십억,1.55,1.55 십억*,72.10 백만,0.07%,14.37%,6.27%
546,Karma,KRM,2.40 십억,1.34,1.78 십억*,846.45 천,0.03%,87.96%,14.56%
547,carVertical,CV,2.38 십억,0.307994,7.74 십억*,3.84 백만,-1.16%,7.30%,1.86%
548,MktCoin,MLM,2.36 십억,2.05,1.15 십억,3.43 백만,0.41%,11.54%,3.65%
549,QChi,QCH,2.36 십억,102.17,23.11 백만*,6.11 백만,2.75%,3.93%,111.62%
550,U Network,UUU,2.36 십억,0.399827,5.90 십억*,172.20 백만,-0.09%,7.71%,3.44%
551,TRAXIA,TMT,2.33 십억,4.75,491.94 백만*,228.78 백만,-1.75%,-5.61%,6.58%
552,Dovu,DOV,2.33 십억,5.83,399.76 백만*,7.11 백만,-0.20%,8.37%,84.35%
553,SureRemit,RMT,2.32 십억,4.65,500.00 백만*,7.32 백만,-0.30%,-7.58%,-19.88%
554,Remme,REM,2.32 십억,3.78,614.32 백만*,183.14 백만,0.50%,5.31%,6.32%
555,Skrumble Network,SKM,2.32 십억,3.07,755.88 백만*,779.97 백만,0.07%,6.95%,4.91%
556,Leverj,LEV,2.30 십억,19.44,118.09 백만*,4.61 백만,-0.04%,80.22%,212.79%
557,Hubii Network,HBT,2.29 십억,151.38,15.14 백만*,4.64 백만,8.79%,44.21%,-15.44%
558,AI Doctor,AIDOC,2.29 십억,5.17,443.33 백만*,998.72 백만,-0.28%,-2.44%,10.49%
559,Bloom,BLT,2.29 십억,47.87,47.86 백만*,206.59 백만,-1.03%,2.84%,-29.42%
560,VeriCoin,VRC,2.28 십억,72.74,31.40 백만,28.21 백만,0.04%,4.87%,1.20%
561,OWNDATA,OWN,2.26 십억,0.205876,11.00 십억*,12.06 백만,0.15%,-8.06%,1.62%
562,Nimiq,NIM,2.26 십억,0.824632,2.74 십억,38.97 백만,-0.54%,1.60%,10.07%
563,NoLimitCoin,NLC2,2.25 십억,10.70,210.58 백만*,28.20 백만,0.04%,22.32%,84.35%
564,I/O Coin,IOC,2.23 십억,130.38,17.14 백만*,709.83 천,-0.18%,1.50%,-11.27%
565,Hydro Protocol,HOT,2.23 십억,3.18,702.00 백만*,9.13 백만,0.28%,3.67%,0.94%
566,CashBet Coin,CBC,2.22 십억,14.45,153.30 백만*,27.27 백만,-0.91%,5.79%,9.83%
567,Lightpaycoin,LPC,2.21 십억,476.00,4.65 백만*,86.26 백만,-3.84%,-10.44%,-16.22%
568,Decision Token,HST,2.21 십억,68.98,32.03 백만*,47.71 백만,-7.69%,1.81%,-0.05%
569,Delphy,DPY,2.19 십억,44.46,49.24 백만*,86.21 백만,-0.86%,13.76%,-1.81%
570,UpToken,UP,2.19 십억,14.93,146.54 백만*,41.19 백만,-0.59%,-0.95%,-5.51%
571,DATx,DATX,2.19 십억,1.57,1.39 십억*,103.09 백만,0.15%,6.53%,-9.55%
572,Incent,INCNT,2.18 십억,47.33,46.02 백만*,997.89 천,0.46%,4.42%,-7.82%
573,BitGuild PLAT,PLAT,2.15 십억,0.683514,3.15 십억*,404.32 백만,-0.92%,19.55%,-
574,LinkEye,LET,2.15 십억,3.58,600.00 백만*,2.10 십억,-0.29%,5.71%,1.01%
575,Online,OIO,2.15 십억,2.45,877.66 백만*,2.56 백만,-0.04%,-16.15%,-22.43%
576,Ubex,UBEX,2.14 십억,0.701535,3.05 십억*,924.37 백만,-0.13%,9.81%,5.79%
577,KARMA,KARMA,2.12 십억,0.641689,3.30 십억*,3.06 백만,-10.00%,9.19%,-4.09%
578,Gambit,GAM,2.12 십억,1834.19,1.15 백만*,58.29 백만,2.73%,31.99%,22.14%
579,Anoncoin,ANC,2.12 십억,1002.33,2.11 백만,3.32 백만,-0.18%,-1.13%,-25.80%
580,Snetwork,SNET,2.11 십억,15.73,133.92 백만*,19.78 백만,0.20%,-7.51%,2.46%
581,HashCoin,HSC,2.10 십억,0.163208,12.86 십억*,5.09 백만,-0.40%,5.53%,10.59%
582,YGGDRASH,YEED,2.09 십억,0.426346,4.91 십억*,243.76 백만,-4.26%,-3.13%,-19.84%
583,Blocktrade Token,BTT,2.09 십억,38.65,54.13 백만*,5.04 백만,1.93%,1.43%,0.20%
584,aXpire,AXPR,2.08 십억,7.58,274.50 백만*,212.77 백만,0.56%,11.67%,10.15%
585,ChatCoin,CHAT,2.05 십억,2.97,690.00 백만*,389.46 백만,-0.10%,-2.07%,0.12%
586,LUXCoin,LUX,2.04 십억,642.62,3.18 백만,19.68 백만,-0.51%,4.26%,-15.04%
587,Phantasma,SOUL,2.03 십억,34.77,58.33 백만*,157.36 백만,-1.25%,22.51%,14.83%
588,ATC Coin,ATCC,2.01 십억,8.41,239.21 백만*,53.90 백만,-0.34%,5.97%,-8.38%
589,HyperSpace,AMP,1.99 십억,19.76,100.73 백만*,13.68 백만,-0.19%,4.78%,-6.74%
590,Welltrado,WTL,1.99 십억,53.52,37.10 백만*,232.51 백만,2.64%,-13.58%,-14.15%
591,XMax,XMX,1.98 십억,0.258214,7.67 십억*,101.59 백만,-0.76%,7.60%,-15.73%
592,Etheroll,DICE,1.98 십억,282.58,7.00 백만*,56.81 백만,-3.65%,-28.29%,-12.68%
593,Unibright,UBT,1.97 십억,14.09,139.57 백만*,73.63 백만,-2.19%,15.30%,5.56%
594,Pandacoin,PND,1.95 십억,0.060029,32.51 십억,1.29 백만,-23.63%,-14.02%,-12.17%
595,Auroracoin,AUR,1.92 십억,112.04,17.13 백만,1.21 백만,0.08%,0.32%,-1.02%
596,Liquidity Net...,LQD,1.92 십억,44.45,43.13 백만*,279.10 백만,-0.85%,0.54%,-1.59%
597,Opacity,OPQ,1.91 십억,22.45,84.92 백만*,7.27 백만,-0.52%,-0.07%,-
598,Dotcoin,DOT,1.90 십억,6.09,312.02 백만*,3.77 백만,-0.16%,5.70%,-1.25%
599,FuzeX,FXT,1.89 십억,2.51,755.10 백만*,4.32 백만,-0.42%,-14.70%,-23.18%
600,Birake,BIR,1.85 십억,64.21,28.77 백만,92.52 백만,-0.47%,13.05%,-35.26%
601,CVCoin,CVN,1.83 십억,148.08,12.38 백만*,257.07 백만,-0.30%,2.10%,-14.12%
602,Bodhi,BOT,1.83 십억,45.70,40.00 백만*,881.88 백만,11.56%,10.88%,38.19%
603,Pura,PURA,1.82 십억,10.41,175.12 백만,1.24 백만,-0.17%,13.45%,-6.70%
604,Niobium Coin,NBC,1.80 십억,36.38,49.43 백만*,3.30 백만,-0.09%,-4.75%,-9.17%
605,CommerceBlock,CBT,1.80 십억,10.37,173.26 백만*,1.91 백만,2.32%,3.74%,56.19%
606,LINA,LINA,1.79 십억,16.64,107.54 백만*,59.04 백만,-0.64%,4.47%,-2.21%
607,Swarm City,SWT,1.77 십억,212.07,8.34 백만*,167.94 백만,0.33%,27.44%,30.84%
608,Hacken,HKN,1.76 십억,328.24,5.36 백만*,15.86 백만,-1.16%,2.10%,7.18%
609,Global Crypto...,GCC,1.76 십억,1.45,1.21 십억*,8.09 백만,-0.25%,17.62%,126.07%
610,Molecule,MOL,1.75 십억,0.137144,12.78 십억*,1.82 십억,-0.18%,8.01%,25.76%
611,Humaniq,HMQ,1.75 십억,9.45,185.29 백만*,78.84 백만,-0.99%,3.64%,-10.46%
612,EnergiToken,ETK,1.74 십억,0.942036,1.85 십억*,13.47 백만,7.85%,0.96%,-21.50%
613,POPCHAIN,PCH,1.74 십억,3.41,510.66 백만*,214.94 백만,4.32%,-3.67%,-1.58%
614,Flixxo,FLIXX,1.74 십억,21.74,80.08 백만*,8.64 백만,-0.63%,12.47%,-30.19%
615,SunContract,SNC,1.74 십억,14.19,122.71 백만*,234.45 백만,-0.38%,7.92%,5.29%
616,Nebula AI,NBAI,1.74 십억,1.49,1.16 십억*,1.23 백만,2.07%,6.26%,21.38%
617,Eroscoin,ERO,1.73 십억,9.28,186.74 백만*,637.68 천,-2.25%,11.00%,7.71%
618,Stellite,XTL,1.72 십억,0.237305,7.26 십억,3.69 백만,-0.17%,-4.52%,7.98%
619,Banca,BANCA,1.70 십억,0.095080,17.93 십억*,38.25 백만,-0.46%,10.01%,0.51%
620,Kcash,KCASH,1.70 십억,5.40,315.81 백만*,381.36 백만,-0.26%,7.06%,-0.10%
621,NeuroChain,NCC,1.70 십억,6.68,254.65 백만*,14.88 백만,0.04%,4.75%,-9.90%
622,Cardstack,CARD,1.69 십억,0.707819,2.39 십억*,137.49 백만,-4.96%,1.77%,-0.40%
623,ALAX,ALX,1.69 십억,3.36,502.91 백만*,1.88 백만,0.55%,10.75%,8.65%
624,Databits,DTB,1.68 십억,73.69,22.75 백만*,3.08 백만,2.23%,8.88%,1.58%
625,Cappasity,CAPP,1.67 십억,3.33,502.64 백만*,131.37 백만,-0.21%,9.19%,10.21%
626,SolarCoin,SLR,1.67 십억,33.65,49.72 백만*,4.62 백만,-0.36%,6.47%,18.78%
627,Paypex,PAYX,1.66 십억,24.28,68.43 백만*,17.72 백만,-1.08%,-0.04%,-2.71%
628,DACSEE,DACS,1.64 십억,2.19,747.35 백만*,2.58 백만,0.20%,-9.35%,-16.86%
629,NewYorkCoin,NYC,1.63 십억,0.012187,134.02 십억,3.65 백만,-0.15%,-9.44%,-1.16%
630,UNIVERSAL CASH,UCASH,1.63 십억,0.195524,8.34 십억*,118.59 백만,0.44%,8.30%,-1.22%
631,ZMINE,ZMN,1.63 십억,12.14,134.25 백만*,12.29 백만,-0.64%,12.37%,-6.91%
632,FarmaTrust,FTT,1.62 십억,2.70,600.00 백만* ,141.80 백만,-0.22%,2.22%,-1.28%
633,Gentarium,GTM,1.61 십억,796.07,2.03 백만,1.33 백만,-3.19%,8.63%,6.02%
634,Morpheus.Network,MRPH,1.61 십억,54.16,29.66 백만*,17.05 백만,-0.09%,3.95%,-0.38%
635,Spectre.ai Ut...,SXUT,1.60 십억,65.31,24.53 백만*,125.28 백만,0.57%,4.42%,18.16%
636,DAOstack,GEN,1.60 십억,41.55,38.46 백만*,764.77 천,-0.07%,4.12%,7.58%
637,ZPER,ZPR,1.59 십억,1.19,1.34 십억*,140.14 백만,-1.28%,4.28%,-5.38%
638,HollyWoodCoin,HWC,1.59 십억,129.08,12.29 백만,155.30 백만,0.55%,-9.89%,-15.64%
639,EXRNchain,EXRN,1.59 십억,0.017142,92.50 십억*,106.58 백만,-0.11%,7.24%,11.43%
640,Tolar,TOL,1.58 십억,5.01,315.73 백만*,224.39 백만,-5.60%,-3.73%,0.97%
641,BitSend,BSD,1.57 십억,72.86,21.54 백만,10.03 백만,-1.24%,1.68%,-5.28%
642,Xriba,XRA,1.57 십억,23.89,65.68 백만*,6.85 백만,-0.02%,-16.06%,-18.43%
643,Airbloc,ABL,1.57 십억,7.38,212.47 백만*,438.40 백만,-0.23%,1.37%,-7.62%
644,Neurotoken,NTK,1.57 십억,19.86,78.91 백만*,70.48 백만,-1.18%,12.10%,12.48%
645,Expanse,EXP,1.56 십억,148.61,10.50 백만,75.68 백만,-1.79%,-1.19%,11.49%
646,Solaris,XLR,1.55 십억,949.79,1.63 백만*,729.92 천,-0.42%,3.47%,5.75%
647,Litex,LXT,1.55 십억,1.89,820.00 백만*,55.69 백만,-0.32%,5.30%,9.24%
648,TrueFlip,TFL,1.55 십억,247.49,6.25 백만*,109.56 백만,-0.18%,1.34%,7.00%
649,Playgroundz,IOG,1.54 십억,54.05,28.55 백만*,15.27 백만,0.09%,-46.40%,-55.69%
650,VINchain,VIN,1.53 십억,3.18,480.11 백만*,136.90 백만,-2.61%,5.15%,5.16%
651,ZelCash,ZEL,1.53 십억,32.24,47.32 백만,5.25 백만,-2.12%,-1.88%,-18.22%
652,Musicoin,MUSIC,1.52 십억,1.22,1.24 십억,14.71 백만,-0.24%,6.03%,-8.28%
653,RightMesh,RMESH,1.52 십억,25.34,60.00 백만*,114.36 백만,14.65%,3.62%,-3.28%
654,Zeusshield,ZSC,1.50 십억,1.30,1.15 십억*,24.88 백만,-0.53%,8.37%,1.73%
655,MidasProtocol,MAS,1.49 십억,5.69,262.55 백만*,37.15 백만,-0.21%,4.96%,-7.42%
656,Howdoo,UDOO,1.48 십억,16.51,89.69 백만*,53.37 백만,-0.58%,3.79%,-6.15%
657,GoNetwork,GOT,1.47 십억,24.58,59.99 백만*,410.13 백만,1.92%,3.71%,-1.92%
658,DAV Coin,DAV,1.47 십억,3.24,454.64 백만*,227.00 백만,0.43%,7.46%,-3.54%
659,DAO.Casino,BET,1.45 십억,8.65,167.27 백만*,588.20 천,0.37%,-14.79%,-27.93%
660,GoByte,GBX,1.44 십억,453.19,3.18 백만,34.28 백만,-0.46%,11.42%,3.63%
661,Ifoods Chain,IFOOD,1.44 십억,0.574595,2.50 십억*,8.62 백만,-0.04%,7.54%,22.99%
662,Ormeus Coin,ORME,1.43 십억,84.16,17.03 백만*,490.43 백만,1.08%,6.98%,1.79%
663,Linker Coin,LNC,1.43 십억,12.64,112.78 백만*,8.87 백만,0.66%,23.66%,70.30%
664,Sphere,SPHR,1.43 십억,462.34,3.08 백만*,11.90 백만,-0.18%,1.60%,2.91%
665,STK,STK,1.42 십억,4.15,341.84 백만*,13.76 백만,0.33%,6.75%,-15.86%
666,Gems,GEM,1.42 십억,1.24,1.15 십억*,6.29 백만,-0.30%,8.40%,-5.33%
667,indaHash,IDH,1.42 십억,3.54,399.94 백만*,145.96 백만,-0.14%,4.02%,2.37%
668,Chronobank,TIME,1.41 십억,1987.30,710.11 천*,56.12 백만,-0.02%,5.05%,-6.62%
669,Fox Trading,FOXT,1.41 십억,156.23,9.03 백만*,286.73 백만,0.11%,7.29%,1.63%
670,Matchpool,GUP,1.40 십억,18.70,75.00 백만*,43.93 백만,-0.51%,9.64%,-10.62%
671,Turtlecoin,TRTL,1.40 십억,0.053307,26.22 십억,63.85 백만,16.12%,23.16%,15.35%
672,Golos,GOLOS,1.40 십억,11.23,124.52 백만,1.40 백만,3.58%,-26.07%,12.63%
673,Puregold Token,PGT,1.40 십억,130.10,10.74 백만*,5.59 백만,-0.04%,25.74%,-52.77%
674,Circuits of V...,COVAL,1.38 십억,1.38,1.00 십억*,8.19 백만,-0.18%,0.58%,-22.41%
675,Egretia,EGT,1.38 십억,0.419027,3.29 십억*,218.97 백만,-0.64%,3.31%,-1.42%
676,Masari,MSR,1.37 십억,157.92,8.70 백만,2.97 백만,-0.18%,11.45%,-3.08%
677,LogisCoin,LGS,1.36 십억,915.58,1.48 백만*,129.19 백만,-0.94%,2.50%,22.02%
678,TraDove B2BCoin,BBC,1.35 십억,2.70,500.00 백만*,42.14 백만,-0.11%,2.83%,-6.67%
679,Gene Source C...,GENE,1.33 십억,3.60,368.94 백만*,9.91 백만,-0.55%,11.48%,-4.50%
680,OneLedger,OLT,1.32 십억,3.91,338.84 백만*,545.56 백만,-1.41%,25.67%,18.07%
681,LatiumX,LATX,1.32 십억,12.68,104.41 백만*,302.61 백만,5.58%,9.97%,33.17%
682,Sharder,SS,1.31 십억,4.61,283.28 백만*,143.59 백만,1.40%,-0.75%,-20.44%
683,Novacoin,NVC,1.31 십억,575.78,2.27 백만,1.71 백만,0.06%,3.50%,-0.83%
684,PAYCENT,PYN,1.30 십억,42.44,30.66 백만*,34.25 백만,2.74%,5.53%,6.20%
685,On.Live,ONL,1.29 십억,59.65,21.62 백만*,65.33 백만,0.01%,3.67%,-5.05%
686,Patientory,PTOY,1.29 십억,18.42,70.00 백만*,5.56 백만,-0.13%,5.08%,-4.84%
687,Ethersocial,ESN,1.29 십억,49.82,25.84 백만,1.78 백만,-0.18%,17.27%,-9.34%
688,Grid+,GRID,1.29 십억,32.79,39.24 백만*,108.81 백만,-0.04%,-12.22%,-19.17%
689,EncrypGen,DNA,1.28 십억,19.16,67.03 백만*,10.39 백만,-0.18%,6.28%,2.05%
690,Dynamic,DYN,1.28 십억,414.93,3.09 백만,59.46 백만,-3.04%,3.10%,14.27%
691,ugChain,UGC,1.28 십억,2.26,568.84 백만*,85.24 백만,-0.03%,4.23%,-6.34%
692,Experty,EXY,1.28 십억,47.30,27.09 백만*,18.57 백만,2.32%,13.82%,-0.93%
693,Trinity Netwo...,TNC,1.28 십억,3.84,333.33 백만*,1.81 백만,-0.28%,10.06%,0.10%
694,sUSD,SUSD,1.28 십억,1104.21,1.16 백만*,4.58 백만,0.17%,1.44%,-2.08%
695,Elite,1337,1.27 십억,0.048134,26.32 십억*,1.53 백만,7.65%,15.05%,13.36%
696,XPA,XPA,1.27 십억,22.14,57.18 백만*,1.57 백만,-0.04%,7.55%,-3.29%
697,DeviantCoin,DEV,1.26 십억,92.53,13.57 백만,3.93 백만,0.39%,5.65%,-14.17%
698,GeoCoin,GEO,1.25 십억,394.33,3.18 백만*,2.58 백만,-0.97%,10.67%,-5.83%
699,ContentBox,BOX,1.25 십억,2.04,615.48 백만*,79.73 백만,-0.78%,6.87%,-7.36%
700,Crowd Machine,CMCT,1.24 십억,2.64,470.16 백만*,5.47 백만,-1.50%,-4.17%,-15.44%
701,BitMart Token,BMX,1.24 십억,10.47,118.33 백만*,262.42 백만,-2.66%,4.43%,-17.01%
702,Curecoin,CURE,1.24 십억,51.75,23.92 백만,1.51 백만,-0.81%,17.58%,1.49%
703,Banyan Network,BBN,1.24 십억,2.62,471.93 백만*,53.50 백만,-2.18%,5.06%,-0.09%
704,DubaiCoin,DBIX,1.23 십억,550.78,2.23 백만,5.61 백만,-0.92%,5.07%,-0.84%
705,Constellation,DAG,1.23 십억,1.93,635.73 백만*,53.90 백만,-1.88%,10.30%,-6.71%
706,Omni,OMNI,1.23 십억,2188.80,561.73 천*,2.85 백만,-0.18%,1.90%,-17.61%
707,ALIS,ALIS,1.23 십억,31.51,38.93 백만*,2.90 백만,-0.18%,-0.44%,-0.26%
708,DomRaider,DRT,1.23 십억,2.07,591.50 백만*,42.90 백만,2.11%,5.55%,-34.10%
709,Miners' Rewar...,MRT,1.22 십억,122.46,10.00 백만*,2.47 백만,2.58%,5.37%,49.96%
710,OKCash,OK,1.22 십억,16.45,74.30 백만*,8.43 백만,-0.18%,3.97%,-5.49%
711,SelfSell,SSC,1.22 십억,3.13,390.00 백만*,381.38 백만,0.40%,12.93%,-3.67%
712,Medicalchain,MTN,1.22 십억,5.27,231.34 백만*,143.51 백만,0.15%,9.39%,-3.50%
713,Hashgard,GARD,1.22 십억,0.078544,15.52 십억*,235.14 백만,0.39%,4.47%,5.47%
714,SUQA,SUQA,1.22 십억,2.90,420.38 백만,32.08 백만,-0.81%,-0.17%,-28.60%
715,Qwark,QWARK,1.22 십억,18.25,66.67 백만*,2.13 백만,-0.18%,6.43%,3.48%
716,BOXX Token [B...,BOXX,1.22 십억,53.08,22.92 백만*,270.67 백만,-2.19%,12.84%,5.43%
717,Shivom,OMX,1.21 십억,1.82,666.50 백만*,8.35 백만,-0.17%,9.08%,-3.73%
718,Sharpe Platfo...,SHP,1.21 십억,70.40,17.18 백만*,2.73 백만,-0.80%,3.98%,11.95%
719,Formosa Finan...,FMF,1.21 십억,1.63,742.02 백만*,64.00 백만,0.66%,6.47%,1.51%
720,Vezt,VZT,1.21 십억,15.80,76.44 백만*,944.63 천,-0.11%,22.90%,16.50%
721,Silent Notary,SNTR,1.20 십억,0.014413,83.47 십억*,111.49 백만,-0.03%,6.13%,3.86%
722,Vexanium,VEX,1.20 십억,3.98,301.80 백만*,171.80 백만,-0.44%,8.87%,-3.09%
723,Arionum,ARO,1.20 십억,16.00,74.85 백만,102.52 백만,-0.80%,26.79%,21.57%
724,Denarius,D,1.20 십억,287.04,4.17 백만,1.40 백만,0.05%,140.80%,121.05%
725,Kleros,PNK,1.20 십억,6.83,175.08 백만*,4.25 백만,-0.01%,9.51%,18.75%
726,Aventus,AVT,1.19 십억,198.73,6.00 백만*,11.10 백만,4.08%,7.59%,1.28%
727,The Abyss,ABYSS,1.19 십억,5.33,223.41 백만*,205.11 백만,-1.10%,7.57%,-0.11%
728,AidCoin,AID,1.19 십억,27.12,43.87 백만*,71.22 백만,-0.26%,10.54%,14.31%
729,Morpheus Labs,MITX,1.19 십억,5.77,205.58 백만*,7.53 백만,-0.07%,4.63%,3.58%
730,Cryptosolartech,CST,1.18 십억,18.41,64.28 백만*,199.51 백만,-1.14%,10.18%,-1.98%
731,WABnetwork,WAB,1.18 십억,0.118294,9.94 십억*,6.22 백만,0.77%,7.42%,-12.46%
732,SIBCoin,SIB,1.17 십억,67.75,17.23 백만,14.39 백만,-0.77%,1.31%,-10.41%
733,DAEX,DAX,1.17 십억,3.29,354.67 백만*,366.58 백만,-16.84%,2.03%,-27.62%
734,Zap,ZAP,1.16 십억,9.01,128.73 백만*,1.13 백만,-1.09%,9.03%,5.82%
735,Ink Protocol,XNK,1.16 십억,5.98,193.95 백만*,37.33 백만,-0.18%,4.95%,-14.19%
736,Bitcoin Incog...,XBI,1.15 십억,164.00,7.03 백만,16.99 백만,-0.90%,-2.66%,-36.50%
737,Friendz,FDZ,1.15 십억,2.25,509.82 백만*,16.56 백만,0.61%,12.20%,15.43%
738,TrustNote,TTT,1.15 십억,3.70,310.00 백만*,998.52 백만,-0.74%,7.83%,-8.35%
739,ShipChain,SHIP,1.14 십억,5.13,222.45 백만*,975.04 천,-2.48%,-7.43%,7.92%
740,Autonio,NIO,1.13 십억,13.61,83.17 백만*,142.43 백만,-0.28%,6.93%,-1.79%
741,Nework,NKC,1.11 십억,7.51,147.59 백만*,187.06 백만,-0.23%,7.18%,1.32%
742,SHIELD,XSH,1.09 십억,2.13,512.97 백만,3.77 백만,0.10%,8.38%,-1.46%
743,Debitum,DEB,1.09 십억,5.49,198.45 백만*,13.65 백만,-0.88%,6.33%,-5.28%
744,Merculet,MVP,1.09 십억,0.317229,3.42 십억*,191.13 백만,-0.81%,7.13%,-6.30%
745,savedroid,SVD,1.07 십억,0.396766,2.69 십억*,3.40 백만,0.36%,6.21%,10.26%
746,CoinPoker,CHP,1.06 십억,3.37,315.41 백만*,7.50 백만,3.59%,7.88%,2.08%
747,FoodCoin,FOOD,1.06 십억,2.65,398.84 백만*,21.30 백만,-0.18%,-27.31%,4.64%
748,Pirl,PIRL,1.05 십억,31.91,33.02 백만,13.50 백만,-1.51%,8.45%,-11.19%
749,Capricoin,CPC,1.05 십억,527.68,1.99 백만*,212.07 백만,-0.49%,-3.91%,-18.94%
750,Qbao,QBT,1.04 십억,15.93,65.35 백만*,64.83 백만,0.82%,9.56%,9.69%
751,Insights Network,INSTAR,1.04 십억,7.50,138.36 백만*,106.97 백만,-0.17%,6.51%,3.43%
752,ArtByte,ABY,1.03 십억,1.31,792.54 백만,3.62 백만,-0.15%,12.13%,-1.19%
753,Eligma Token,ELI,1.03 십억,7.44,138.94 백만*,638.04 백만,-0.55%,14.18%,5.41%
754,WeAreSatoshi,WSX,1.03 십억,42.00,24.53 백만,9.63 백만,-0.17%,5.55%,-18.90%
755,RED,RED,1.03 십억,7.92,130.00 백만*,13.70 백만,-0.28%,4.07%,-1.65%
756,FoldingCoin,FLDC,1.02 십억,1.42,719.42 백만*,1.53 백만,-0.18%,6.74%,-0.07%
757,BitDegree,BDG,1.02 십억,2.86,356.34 백만*,651.92 천,-0.04%,20.53%,4.93%
758,AdShares,ADST,1.02 십억,52.47,19.38 백만*,1.47 백만,0.07%,7.45%,1.21%
759,SiaCashCoin,SCC,1.01 십억,0.128925,7.82 십억*,7.53 백만,26.76%,29.09%,18.34%
760,Pedity,PEDI,1.01 십억,0.736968,1.37 십억*,1.13 백만,1.05%,9.98%,-30.24%
761,GoldCoin,GLD,1.01 십억,24.28,41.47 백만,3.71 백만,0.21%,-3.33%,-19.93%
762,Kore,KORE,1.00 십억,472.14,2.12 백만*,46.22 백만,-0.20%,0.24%,4.88%
763,X8X Token,X8X,1.00 십억,16.28,61.51 백만*,17.68 백만,-19.06%,-28.28%,-9.88%
