#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
125,Endor Protocol,EDR,24.27 십억,35.39,685.81 백만*,800.11 백만,5.28%,-14.23%,-24.39%
126,FunFair,FUN,24.16 십억,4.34,5.57 십억*,795.31 백만,-0.76%,8.39%,-3.52%
127,SingularityNET,AGI,23.52 십억,43.58,539.67 백만*,432.71 백만,-1.36%,11.32%,8.02%
128,Gold Bits Coin,GBC,23.44 십억,221.17,105.97 백만*,20.35 백만,-0.24%,6.31%,2.65%
129,Nasdacoin,NSD,22.95 십억,1214.26,18.90 백만,123.38 백만,0.87%,3.88%,-10.06%
130,Swarm,SWM,22.22 십억,322.91,68.83 백만*,243.92 백만,1.61%,3.57%,175.21%
131,CyberMiles,CMT,21.27 십억,26.58,800.00 백만*,1.98 십억,0.60%,7.21%,-8.22%
132,Gas,GAS,20.99 십억,2072.00,10.13 백만*,315.99 백만,-0.34%,8.49%,3.62%
133,SIRIN LABS Token,SRN,20.54 십억,41.76,491.82 백만*,2.49 십억,-0.87%,4.98%,-14.17%
134,Maximine Coin,MXM,20.51 십억,12.59,1.63 십억*,972.31 백만,-0.11%,2.71%,1.15%
135,Moeda Loyalty...,MDA,20.39 십억,1038.61,19.63 백만*,11.17 십억,0.22%,15.08%,39.63%
136,Spectre.ai Di...,SXDT,20.33 십억,247.76,82.07 백만*,15.74 백만,-0.04%,12.32%,-7.01%
137,Byteball Bytes,GBYTE,20.22 십억,29781.52,679.01 천*,44.58 백만,0.61%,4.99%,-20.82%
138,Dragonchain,DRGN,20.11 십억,84.36,238.42 백만*,321.56 백만,-0.96%,8.84%,1.52%
139,Bibox Token,BIX,19.98 십억,191.36,104.38 백만*,907.62 백만,-0.19%,8.13%,-2.62%
140,Civic,CVC,19.88 십억,58.02,342.70 백만*,685.60 백만,-0.12%,5.36%,-6.01%
141,Storj,STORJ,19.85 십억,146.16,135.79 백만*,1.03 십억,-1.01%,1.73%,-2.51%
142,PumaPay,PMA,19.81 십억,0.946606,20.92 십억*,1.31 십억,1.09%,-4.15%,15.96%
143,ETERNAL TOKEN,XET,19.80 십억,291.50,67.93 백만*,75.87 백만,5.30%,31.24%,32.25%
144,Kyber Network,KNC,19.51 십억,145.48,134.13 백만*,1.84 십억,-1.12%,4.60%,-3.89%
145,SmartCash,SMART,19.27 십억,18.28,1.05 십억,571.71 백만,-0.34%,3.46%,-22.40%
146,Smartlands,SLT,19.18 십억,3760.41,5.10 백만*,916.26 백만,-2.20%,-14.49%,-19.78%
147,Nuls,NULS,18.95 십억,473.87,40.00 백만*,4.19 십억,-0.47%,3.22%,6.10%
148,Dent,DENT,18.94 십억,1.10,17.24 십억*,984.88 백만,2.07%,7.91%,6.02%
149,SALT,SALT,18.43 십억,228.30,80.73 백만*,1.41 십억,-1.80%,2.45%,-5.45%
150,Nexus,NXS,18.37 십억,307.62,59.71 백만,632.94 백만,-1.06%,10.28%,12.70%
151,Bread,BRD,18.36 십억,206.86,88.73 백만*,694.90 백만,0.09%,5.71%,-1.27%
152,Enigma,ENG,18.28 십억,244.24,74.84 백만*,638.84 백만,-0.38%,4.04%,-16.54%
153,Credits,CS,18.07 십억,118.52,152.43 백만*,1.29 십억,-2.60%,9.09%,17.37%
154,Genesis Vision,GVT,18.01 십억,4067.54,4.43 백만*,1.37 십억,-0.21%,8.29%,7.83%
155,Substratum,SUB,17.97 십억,46.91,383.02 백만*,188.32 백만,-0.91%,3.31%,-4.60%
156,GoChain,GO,17.89 십억,27.31,655.02 백만*,1.31 십억,-0.50%,3.73%,2.80%
157,Crypto.com Chain,CRO,17.64 십억,16.48,1.07 십억*,796.52 백만,0.79%,23.41%,-
158,Vitae,VITAE,17.49 십억,1616.43,10.82 백만,107.36 백만,2.86%,33.79%,25.03%
159,BridgeCoin,BCO,17.28 십억,640.10,27.00 백만*,19.01 백만,-0.04%,21.59%,51.47%
160,OneRoot Network,RNT,17.13 십억,62.79,272.73 백만*,487.23 백만,1.64%,3.43%,15.73%
161,Unobtanium,UNO,17.05 십억,85379.02,199.68 천,11.00 백만,-0.82%,3.07%,3.53%
162,Request Network,REQ,16.97 십억,23.26,729.66 백만*,340.97 백만,-1.29%,5.99%,-1.22%
163,Groestlcoin,GRS,16.91 십억,236.37,71.53 백만,925.64 백만,-1.55%,3.24%,-4.85%
164,Iconomi,ICN,16.76 십억,169.42,98.93 백만*,2.36 백만,-1.25%,8.23%,-7.32%
165,Cortex,CTXC,16.72 십억,111.64,149.79 백만*,4.12 십억,-0.80%,3.32%,-6.00%
166,THEKEY,TKY,16.70 십억,3.30,5.06 십억*,134.32 백만,1.21%,16.05%,8.33%
167,Emercoin,EMC,16.63 십억,386.19,43.07 백만,90.33 백만,0.36%,10.18%,7.92%
168,Tokenomy,TEN,16.57 십억,82.86,200.00 백만*,393.80 백만,0.19%,4.40%,-4.96%
169,Santiment Net...,SAN,16.23 십억,259.09,62.66 백만*,321.23 백만,0.26%,6.62%,18.67%
170,Neblio,NEBL,15.70 십억,1133.85,13.84 백만*,122.34 백만,-0.02%,8.61%,10.49%
171,Pillar,PLR,15.60 십억,60.16,259.35 백만*,14.90 백만,0.33%,-6.41%,35.47%
172,iExec RLC,RLC,15.55 십억,194.15,80.07 백만*,203.02 백만,-0.85%,6.10%,-1.52%
173,Cindicator,CND,15.40 십억,10.65,1.45 십억*,150.17 백만,0.82%,7.45%,-1.56%
174,Optimal Shelf...,OSA,15.36 십억,48.21,318.57 백만*,1.43 십억,0.43%,3.18%,-6.98%
175,Fusion,FSN,15.33 십억,516.24,29.70 백만*,579.38 백만,1.33%,2.31%,-24.26%
176,Telcoin,TEL,15.32 십억,0.439047,34.90 십억*,22.34 백만,-0.12%,1.27%,-0.47%
177,APIS,APIS,15.21 십억,3.12,4.87 십억*,3.22 십억,-2.63%,7.68%,2.00%
178,DMarket,DMT,14.97 십억,298.14,50.22 백만*,4.50 십억,0.06%,17.95%,17.23%
179,Dropil,DROP,14.95 십억,0.677303,22.07 십억*,134.42 백만,0.78%,6.05%,-39.66%
180,Storm,STORM,14.89 십억,3.26,4.57 십억*,3.85 십억,-0.77%,4.30%,3.81%
181,Particl,PART,14.87 십억,1842.20,8.07 백만*,99.22 백만,1.74%,-3.80%,-3.45%
182,BnkToTheFuture,BFT,14.71 십억,23.35,629.99 백만*,69.03 백만,-0.57%,7.60%,2.23%
183,Energi,NRG,14.64 십억,1340.85,10.92 백만,16.69 백만,-0.29%,11.12%,-8.31%
184,Quant,QNT,14.41 십억,1473.45,9.78 백만*,1.69 십억,-1.08%,16.03%,-1.88%
185,Bezant,BZNT,14.27 십억,28.41,502.15 백만*,891.48 백만,3.79%,14.61%,6.56%
186,Mainframe,MFT,14.18 십억,3.20,4.43 십억*,1.33 십억,-1.81%,5.74%,-3.26%
187,CRYPTO20,C20,14.07 십억,349.80,40.23 백만*,769.95 천,-0.22%,7.24%,2.41%
188,Republic Prot...,REN,14.03 십억,22.38,626.76 백만*,1.11 십억,-0.80%,6.63%,-11.25%
189,Gnosis,GNO,13.98 십억,12655.30,1.10 백만*,209.15 백만,-0.44%,8.59%,-5.13%
190,Peercoin,PPC,13.94 십억,555.60,25.10 백만,145.36 백만,-0.30%,2.58%,-13.70%
191,Gifto,GTO,13.83 십억,26.01,531.82 백만*,3.51 십억,-0.51%,9.50%,7.09%
192,Lisk Machine ...,LML,13.82 십억,115.15,120.00 백만 *,4.88 백만,1.88%,9.39%,-
193,PRIZM,PZM,13.71 십억,197.12,69.54 백만*,8.55 백만,1.14%,0.43%,-15.91%
194,Vertcoin,VTC,13.54 십억,285.92,47.34 백만,92.79 백만,1.54%,9.53%,7.39%
195,Wagerr,WGR,13.29 십억,72.64,183.00 백만*,16.21 백만,2.11%,8.65%,-2.37%
196,TokenClub,TCT,13.01 십억,27.03,481.43 백만*,367.00 백만,-0.51%,-0.15%,5.76%
197,IoTeX,IOTX,12.98 십억,8.51,1.53 십억*,1.16 십억,0.75%,7.46%,6.19%
198,Streamr DATAcoin,DATA,12.87 십억,19.01,677.15 백만*,1.73 십억,-0.79%,0.61%,3.89%
199,TokenPay,TPAY,12.85 십억,817.73,15.72 백만*,418.23 백만,0.17%,8.66%,-8.44%
200,Ignis,IGNIS,12.84 십억,16.87,761.14 백만*,62.22 백만,-0.35%,5.65%,-2.96%
201,CasinoCoin,CSC,12.79 십억,0.355586,35.97 십억*,3.19 백만,-5.46%,36.71%,50.41%
202,Po.et,POE,12.77 십억,5.28,2.42 십억*,787.20 백만,-0.14%,6.99%,-2.05%
203,Odyssey,OCN,12.72 십억,2.68,4.75 십억*,3.25 십억,-2.58%,4.12%,-16.21%
204,Aragon,ANT,12.53 십억,430.66,29.10 백만*,122.80 백만,-0.41%,9.28%,-15.01%
205,TrueChain,TRUE,12.50 십억,269.11,46.45 백만*,16.54 십억,-1.20%,4.31%,8.49%
206,Everipedia,IQ,12.48 십억,2.77,4.51 십억*,305.20 백만,-0.69%,2.70%,-0.70%
207,STACS,STACS,12.33 십억,25.68,480.20 백만*,55.14 백만,0.56%,-10.27%,-9.34%
208,MediBloc [ERC20],MEDX,12.29 십억,3.87,3.17 십억*,1.76 십억,-0.42%,6.22%,27.75%
209,OST,OST,12.28 십억,26.84,457.48 백만*,522.76 백만,-1.42%,1.18%,-0.71%
210,RChain,RHOC,12.13 십억,32.46,373.79 백만*,154.74 백만,0.43%,17.13%,-11.54%
211,Noah Coin,NOAH,12.00 십억,0.366979,32.69 십억*,203.83 백만,1.32%,9.98%,-9.70%
212,Skycoin,SKY,11.83 십억,1075.02,11.00 백만*,515.44 백만,0.47%,8.06%,6.44%
213,TomoChain,TOMO,11.80 십억,215.94,54.63 백만*,542.04 백만,0.14%,3.99%,14.74%
214,Matrix AI Net...,MAN,11.67 십억,77.78,150.00 백만*,694.82 백만,-1.85%,6.54%,-2.28%
215,Cube,AUTO,11.50 십억,1.70,6.77 십억*,1.06 십억,-0.16%,3.12%,-4.41%
216,UTRUST,UTK,11.42 십억,25.39,450.00 백만*,105.97 백만,-0.10%,5.94%,6.85%
217,Scry.info,DDD,11.35 십억,25.79,440.06 백만*,411.49 백만,0.75%,4.22%,-10.71%
218,Edgeless,EDG,11.22 십억,114.74,97.82 백만*,473.04 백만,-4.02%,33.83%,53.63%
219,Gulden,NLG,11.11 십억,26.77,415.03 백만,49.77 백만,0.01%,1.56%,-1.09%
220,Nucleus Vision,NCASH,11.06 십억,1.98,5.58 십억*,747.25 백만,-0.55%,9.54%,3.98%
221,WhiteCoin,XWC,10.95 십억,43.77,250.18 백만*,119.02 백만,1.64%,7.82%,0.01%
222,United Trader...,UTT,10.87 십억,291.12,37.36 백만*,632.58 천,-0.27%,15.21%,6.99%
223,Safe Exchange...,SAFEX,10.84 십억,7.02,1.54 십억*,1.21 백만,2.07%,7.26%,0.10%
224,Genaro Network,GNX,10.83 십억,18.25,593.71 백만,227.79 백만,-0.81%,3.37%,-14.07%
225,Blocknet,BLOCK,10.62 십억,1938.16,5.48 백만*,18.83 백만,0.97%,7.18%,2.05%
226,High Performa...,HPB,10.52 십억,276.55,38.02 백만*,1.62 십억,-0.39%,9.49%,3.66%
227,SmartMesh,SMT,10.45 십억,7.39,1.41 십억*,66.07 백만,-0.41%,5.62%,9.32%
228,Breezecoin,BRZC,10.45 십억,265.95,39.28 백만*,3.18 백만,0.07%,-0.75%,6.39%
229,NavCoin,NAV,10.39 십억,162.90,63.77 백만*,366.58 백만,-0.71%,3.32%,14.26%
230,Ubiq,UBQ,10.37 십억,243.47,42.61 백만,19.15 백만,-0.56%,3.92%,-13.83%
231,SaluS,SLS,10.37 십억,10250.35,1.01 백만*,27.56 백만,-0.18%,1.60%,-1.97%
232,Moss Coin,MOC,10.29 십억,46.95,219.24 백만*,112.20 백만,-0.33%,2.50%,-2.31%
233,Einsteinium,EMC2,10.24 십억,46.96,218.07 백만,462.86 백만,-1.21%,1.60%,-12.80%
234,MediBloc [QRC20],MED,10.10 십억,3.41,2.97 십억*,23.84 백만,0.35%,5.63%,19.38%
235,Quantum Resis...,QRL,9.98 십억,191.85,52.00 백만*,59.46 백만,-0.18%,3.51%,5.34%
236,Ambrosus,AMB,9.95 십억,68.83,144.59 백만*,1.78 십억,0.09%,8.26%,10.37%
237,Own,CHX,9.91 십억,136.23,72.71 백만*,272.62 백만,0.03%,12.45%,19.69%
238,Sakura Bloom,SKB,9.88 십억,3.82,2.58 십억*,857.51 백만,0.54%,20.87%,25.52%
239,Raiden Networ...,RDN,9.86 십억,196.38,50.22 백만*,573.29 백만,-0.19%,7.09%,-11.06%
240,ETHLend,LEND,9.82 십억,8.92,1.10 십억*,269.97 백만,-0.60%,12.23%,16.39%
241,ZrCoin,ZRC,9.81 십억,2482.15,3.95 백만*,36.46 백만,-0.18%,-7.25%,17.56%
242,Quantstamp,QSP,9.80 십억,15.87,617.31 백만*,143.37 백만,0.26%,9.95%,3.01%
243,Namecoin,NMC,9.63 십억,653.21,14.74 백만,15.63 백만,1.14%,11.22%,17.41%
244,AMO Coin,AMO,9.54 십억,1.06,8.97 십억*,167.39 백만,-1.36%,-6.38%,-1.91%
245,Cryptaur,CPT,9.54 십억,1.30,7.35 십억*,24.39 백만,-0.27%,6.58%,2.68%
246,Ethos,ETHOS,9.48 십억,107.46,88.21 백만*,272.67 백만,-0.58%,9.00%,5.66%
247,Burst,BURST,9.27 십억,4.62,2.01 십억,139.26 백만,0.69%,8.98%,-30.28%
248,Wowbit,WWB,9.25 십억,33.31,277.78 백만* ,147.43 백만,-2.80%,13.90%,9.61%
249,Bluzelle,BLZ,9.19 십억,46.10,199.38 백만*,587.14 백만,-0.61%,5.19%,-18.07%
250,COSS,COSS,9.15 십억,76.64,119.37 백만*,94.39 백만,2.25%,12.34%,9.19%
251,BABB,BAX,9.10 십억,0.433256,21.00 십억*,100.48 백만,-0.06%,2.05%,9.31%
252,E-Dinar Coin,EDR,9.07 십억,10.24,886.21 백만,1.50 십억,-0.26%,3.59%,-3.07%
253,LEOcoin,LEO,9.03 십억,88.71,101.74 백만*,1.45 십억,0.02%,10.17%,4.52%
254,Crypterium,CRPT,9.01 십억,112.15,80.32 백만*,238.97 백만,-0.41%,10.91%,6.41%
