#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
249,BitBay,BAY,8.86 십억,8.75,1.01 십억*,17.28 백만,-1.98%,-7.29%,-19.09%
250,Ethos,ETHOS,8.83 십억,100.79,87.58 백만*,126.09 백만,-2.16%,-4.13%,-25.49%
251,Zipper,ZIP,8.78 십억,0.542113,16.20 십억*,1.33 십억,-1.64%,-5.64%,-20.31%
252,Metal,MTL,8.61 십억,264.18,32.57 백만*,353.56 백만,-1.24%,-9.10%,-27.70%
253,Steem Dollars,SBD,8.58 십억,673.47,12.74 백만*,350.83 백만,-2.02%,-4.56%,-25.52%
254,NIX,NIX,8.51 십억,201.91,42.13 백만,29.30 백만,10.33%,-1.51%,-19.36%
255,Loki,LOKI,8.45 십억,265.92,31.78 백만,24.45 백만,-3.57%,-6.58%,-20.25%
256,Crypterium,CRPT,8.38 십억,104.91,79.90 백만*,266.88 백만,-0.70%,-2.23%,-32.37%
257,Arcblock,ABT,8.38 십억,85.09,98.51 백만*,3.32 십억,3.62%,2.21%,-12.53%
258,ETHLend,LEND,8.37 십억,7.6,1.10 십억*,135.44 백만,-2.31%,-6.07%,-26.28%
259,MediBloc [QRC20],MED,8.35 십억,2.81,2.97 십억*,18.45 백만,-1.51%,-2.68%,-13.00%
260,Ruff,RUFF,8.32 십억,8.85,940.50 백만*,123.23 백만,-2.42%,-4.58%,-30.51%
261,Wowbit,WWB,8.30 십억,29.87,277.78 백만*,134.24 백만,-2.10%,-17.04%,-35.99%
262,BABB,BAX,8.28 십억,0.394103,21.00 십억*,14.28 백만,-1.76%,-3.77%,-21.07%
263,Time New Bank,TNB,8.17 십억,3.17,2.58 십억*,461.88 백만,-2.90%,-9.03%,-31.32%
264,Namecoin,NMC,8.11 십억,550.26,14.74 백만,14.18 백만,-1.53%,-1.04%,0.24%
265,Propy,PRO,8.11 십억,142.18,57.01 백만*,185.56 백만,-1.95%,-5.30%,-19.78%
266,Cosmo Coin,COSM,8.08 십억,12.05,670.78 백만*,77.27 백만,-0.94%,-3.77%,-11.92%
267,COSS,COSS,8.07 십억,67.92,118.81 백만*,7.12 백만,-3.23%,17.41%,-1.17%
268,Cred,LBA,8.01 십억,17.26,464.04 백만*,323.66 백만,-1.41%,-6.68%,-28.86%
269,SONM,SNM,8.01 십억,22.26,359.60 백만*,90.68 백만,-2.25%,-4.90%,-23.94%
270,NAGA,NGC,7.98 십억,134.32,59.42 백만*,51.74 백만,-3.20%,-10.53%,-14.06%
271,ZrCoin,ZRC,7.96 십억,2020.09,3.94 백만*,32.24 백만,-2.04%,-12.99%,-13.54%
272,Apollo Currency,APL,7.87 십억,0.536052,14.69 십억*,1.24 십억,-2.97%,-5.00%,-19.54%
273,Quanta Utilit...,QNTU,7.79 십억,0.266062,29.28 십억*,136.57 백만,-1.85%,-3.85%,-13.41%
274,Bitcoin Interest,BCI,7.69 십억,419.61,18.33 백만,804.32 천,-1.36%,0.99%,-7.93%
275,Swarm,SWM,7.64 십억,110.96,68.83 백만*,32.02 백만,-1.49%,-8.57%,-37.66%
276,Sakura Bloom,SKB,7.62 십억,2.95,2.58 십억*,287.51 백만,-1.64%,-1.43%,87.98%
277,Insolar,INS,7.54 십억,231.97,32.50 백만*,313.04 백만,-2.04%,-3.35%,-17.19%
278,Rotharium,RTH,7.53 십억,2242.8,3.36 백만*,94.04 백만,-1.81%,-3.96%,-19.23%
279,Red Pulse Pho...,PHX,7.53 십억,9.07,829.59 백만*,288.75 백만,-2.07%,-6.50%,-24.85%
280,Genaro Network,GNX,7.52 십억,21.07,357.01 백만,230.02 백만,-0.03%,-3.17%,-8.43%
281,Modum,MOD,7.49 십억,352.13,21.27 백만*,101.56 백만,-2.47%,-3.61%,-17.91%
282,IoT Chain,ITC,7.46 십억,119.05,62.69 백만*,445.87 백만,-1.82%,-1.92%,-14.07%
283,TokenCard,TKN,7.42 십억,309.98,23.92 백만*,1.54 백만,-2.63%,-2.22%,-17.43%
284,DATA,DTA,7.41 십억,1.01,7.35 십억*,253.79 백만,-1.37%,-2.50%,-25.75%
285,AdEx,ADX,7.37 십억,100.39,73.43 백만*,2.07 십억,-2.23%,-12.83%,-28.22%
286,ParkinGo,GOT,7.35 십억,706.58,10.40 백만*,12.04 백만,0.00%,-0.26%,-5.48%
287,NaPoleonX,NPX,7.34 십억,289.77,25.33 백만*,121.36 백만,-1.96%,3.59%,-9.07%
288,Wings,WINGS,7.30 십억,74.94,97.44 백만*,182.89 백만,-1.93%,-6.63%,-27.99%
289,TrueDeck,TDP,7.28 십억,725.17,10.05 백만*,273.27 백만,-4.31%,0.45%,-11.60%
290,Edgeless,EDG,7.26 십억,74.25,97.82 백만*,43.72 백만,-2.07%,4.67%,-11.73%
291,Stakenet,XSN,7.25 십억,97.17,74.64 백만*,107.91 백만,-0.69%,-4.28%,-20.91%
292,Viacoin,VIA,7.23 십억,312.82,23.11 백만,41.61 백만,-2.19%,-4.22%,-20.11%
293,Nexty,NTY,7.19 십억,0.048489,148.31 십억,182.43 백만,-0.14%,-3.57%,-30.11%
294,Buggyra Coin ...,BCZERO,7.17 십억,4.27,1.68 십억*,7.96 백만,-1.71%,-5.97%,-55.26%
295,Loopring [NEO],LRN,7.16 십억,63.04,113.60 백만*,53.13 백만,-2.79%,-3.17%,-23.00%
296,LockTrip,LOC,7.14 십억,768.05,9.29 백만*,437.00 백만,-1.52%,-4.50%,-12.64%
297,Cashaa,CAS,7.13 십억,11.8,604.36 백만*,149.81 백만,-2.60%,2.03%,-20.26%
298,Fantom,FTM,7.11 십억,5.6,1.27 십억*,556.60 백만,-2.53%,2.14%,-18.05%
299,Counterparty,XCP,7.09 십억,2712.07,2.62 백만*,110.84 백만,1.45%,-14.02%,-4.39%
300,SCRL,SCRL,7.09 십억,47.03,150.79 백만*,202.16 백만,-2.97%,-10.21%,-13.54%
301,WePower,WPR,7.01 십억,13.71,511.31 백만*,111.32 백만,-2.57%,-5.08%,-24.71%
302,GINcoin,GIN,6.99 십억,1614.93,4.33 백만,31.99 백만,1.49%,-6.64%,-14.09%
303,LoyalCoin,LYL,6.98 십억,1.3,5.35 십억*,469.48 백만,-0.39%,-4.20%,-20.86%
304,VIBE,VIBE,6.92 십억,26.6,260.08 백만*,231.60 백만,-1.92%,-6.59%,-22.15%
305,Electra,ECA,6.90 십억,0.243058,28.38 십억,112.52 백만,-2.16%,4.48%,-12.16%
306,Mobius,MOBI,6.89 십억,13.38,515.08 백만*,7.65 백만,-1.42%,2.06%,-20.04%
307,Selfkey,KEY,6.83 십억,2.76,2.48 십억*,148.60 백만,-3.02%,-6.65%,-22.25%
308,POA Network,POA,6.83 십억,31.01,220.17 백만*,152.51 백만,-2.82%,-5.36%,-25.68%
309,CyberVein,CVT,6.82 십억,6.43,1.06 십억*,169.94 백만,-1.08%,-16.55%,-36.16%
310,AurumCoin,AU,6.81 십억,22852.67,298.08 천,1.15 백만,-1.68%,-3.98%,-13.96%
311,Covesting,COV,6.78 십억,387.33,17.50 백만*,8.38 백만,-3.91%,-3.22%,-19.82%
312,TTC Protocol,TTC,6.77 십억,24.18,279.94 백만*,338.51 백만,-2.95%,-5.79%,-34.21%
313,Wabi,WABI,6.71 십억,125.58,53.42 백만*,50.69 백만,-3.17%,-7.12%,-30.06%
314,Achain,ACT,6.70 십억,8.49,789.37 백만*,295.67 백만,-2.54%,-1.44%,-21.32%
315,Ripio Credit ...,RCN,6.67 십억,13.32,500.61 백만*,156.54 백만,-1.33%,-2.29%,-28.36%
316,XTRABYTES,XBY,6.67 십억,15.51,430.00 백만*,13.50 백만,-1.68%,-5.05%,-19.92%
317,Boolberry,BBR,6.64 십억,534.65,12.42 백만,697.38 천,-1.68%,-4.18%,-22.92%
318,OriginTrail,TRAC,6.59 십억,23.1,285.44 백만*,13.31 백만,-2.72%,-3.36%,-17.82%
319,Storiqa,STQ,6.50 십억,0.661848,9.82 십억*,136.26 백만,-1.96%,-6.85%,-28.66%
320,Litecoin Cash,LCC,6.48 십억,10.82,598.49 백만,196.38 백만,-1.59%,-4.33%,-25.33%
321,Fortuna,FOTA,6.30 십억,13.34,472.20 백만*,788.26 백만,-2.22%,-1.50%,-4.26%
322,ZClassic,ZCL,6.29 십억,1148.5,5.47 백만,41.21 백만,-2.50%,-6.17%,-25.87%
323,Tripio,TRIO,6.25 십억,2.78,2.25 십억*,307.18 백만,-2.85%,-5.43%,-36.78%
324,SingularDTV,SNGLS,6.22 십억,10.37,600.00 백만*,452.03 백만,-2.38%,-10.22%,-30.18%
325,Veros,VRS,6.15 십억,112.85,54.50 백만*,1.06 십억,0.92%,22.36%,564.46%
326,Ecoreal Estate,ECOREAL,6.14 십억,39.01,157.36 백만*,3.09 백만,-5.03%,94.96%,-33.35%
327,Hydro,HYDRO,6.12 십억,2.09,2.92 십억 *,730.98 백만,-2.62%,-0.71%,-17.71%
328,Pascal Coin,PASC,6.12 십억,255.82,23.92 백만,5.97 백만,-1.42%,-6.30%,-15.69%
329,CloakCoin,CLOAK,6.09 십억,1165.87,5.23 백만*,148.89 백만,-2.31%,-6.95%,-24.56%
330,CrypticCoin,CRYP,6.09 십억,2.39,2.54 십억,242.47 백만,-4.36%,-13.79%,-10.75%
331,BitKan,KAN,6.03 십억,1.84,3.28 십억*,181.81 백만,-1.62%,-5.32%,-14.88%
332,Content Neutr...,CNN,6.01 십억,0.153864,39.04 십억*,85.25 백만,-2.24%,-5.05%,-18.91%
333,doc.com Token,MTC,6.00 십억,19.82,303.01 백만*,320.46 백만,-1.37%,-4.24%,-10.62%
334,DEW,DEW,6.00 십억,58.15,103.24 백만*,1.49 백만,-1.67%,-4.68%,-33.04%
335,ToaCoin,TOA,5.99 십억,1.82,3.28 십억,71.43 백만,-0.50%,-2.38%,42.01%
336,Clams,CLAM,5.96 십억,1772.33,3.36 백만*,16.19 백만,-1.03%,-8.49%,-24.31%
337,Internet Node...,INT,5.93 십억,18.81,315.41 백만*,767.82 백만,-2.28%,-4.76%,-14.30%
338,DAPS Token,DAPS,5.93 십억,0.113675,52.17 십억*,17.88 백만,8.76%,-5.18%,-5.86%
339,Restart Energ...,MWAT,5.88 십억,12.99,452.75 백만*,37.22 백만,-0.87%,-1.23%,-8.00%
340,Haven Protocol,XHV,5.83 십억,926.29,6.29 백만*,65.49 백만,-1.18%,-4.75%,-16.72%
341,REPO,REPO,5.72 십억,52.02,109.96 백만*,24.75 백만,-2.07%,-0.88%,-17.93%
342,Blox,CDT,5.71 십억,8.49,673.08 백만*,73.82 백만,-1.76%,-2.36%,-25.83%
343,VITE,VITE,5.71 십억,13.75,415.16 백만*,175.57 백만,-2.85%,-8.74%,-26.69%
344,EvenCoin,EVN,5.65 십억,303.43,18.61 백만*,185.26 백만,-2.25%,8.55%,409.95%
345,bitUSD,BITUSD,5.62 십억,806.14,6.97 백만*,39.62 백만,-1.26%,-4.37%,-24.93%
346,Lympo,LYM,5.61 십억,7.45,753.35 백만*,420.04 백만,-2.18%,0.29%,-12.66%
347,BitNewChain,BTN,5.61 십억,31.21,179.70 백만,34.80 백만,-2.19%,-25.10%,-1.92%
348,Metronome,MET,5.59 십억,640.97,8.73 백만*,306.56 백만,-5.35%,-7.28%,-32.70%
349,Asch,XAS,5.55 십억,59.49,93.36 백만*,436.18 백만,-3.77%,-9.87%,-19.96%
350,B2BX,B2B,5.49 십억,332.93,16.49 백만*,2.64 십억,-0.23%,-7.76%,-19.48%
351,PCHAIN,PAI,5.49 십억,7.4,741.79 백만*,205.23 백만,-5.19%,-6.35%,-28.45%
352,Primecoin,XPM,5.48 십억,212.2,25.83 백만,71.13 백만,3.22%,-1.98%,-20.40%
353,LBRY Credits,LBC,5.48 십억,25.98,210.77 백만,122.65 백만,3.41%,7.45%,6.90%
354,Tierion,TNT,5.46 십억,12.75,428.48 백만*,231.01 백만,-2.30%,-8.87%,-28.27%
355,Dero,DERO,5.40 십억,919.59,5.88 백만,10.10 백만,-1.71%,-5.38%,-11.51%
356,Game.com,GTC,5.39 십억,7.09,761.44 백만*,3.41 십억,-1.93%,14.08%,-9.73%
357,Metadium,META,5.39 십억,4.96,1.09 십억*,362.00 백만,-1.35%,-12.52%,-26.53%
358,Linda,LINDA,5.37 십억,0.473706,11.34 십억,22.75 백만,-0.68%,-1.89%,-15.46%
359,All Sports,SOC,5.34 십억,3.64,1.47 십억*,177.29 백만,-1.69%,-2.44%,-31.26%
360,Mercury,MER,5.34 십억,53.39,100.00 백만*,167.86 백만,-3.15%,-6.63%,-28.58%
361,LGO Exchange,LGO,5.32 십억,41.69,127.64 백만*,19.69 백만,-2.35%,1.20%,-24.13%
362,Happycoin,HPC,5.25 십억,300.44,17.47 백만,12.33 백만,-1.69%,-8.56%,-15.73%
363,TRONCLASSIC,TRXC,5.24 십억,0.01127,465.11 십억*,1.41 백만,4.25%,68.09%,-51.20%
364,Bitcore,BTX,5.23 십억,315.57,16.57 백만,175.24 백만,-1.68%,-2.72%,-16.86%
365,ION,ION,5.21 십억,241.28,21.61 백만*,69.87 백만,-1.84%,-1.27%,-10.88%
366,FairCoin,FAIR,5.21 십억,97.88,53.19 백만*,666.78 천,-12.25%,-6.75%,-20.60%
367,IHT Real Esta...,IHT,5.19 십억,9.3,557.67 백만*,85.91 백만,-2.08%,-5.22%,-27.35%
368,MediShares,MDS,5.19 십억,5.03,1.03 십억*,11.88 백만,-2.98%,-5.64%,-33.31%
369,Refereum,RFR,5.17 십억,2.12,2.44 십억*,1.09 십억,-1.52%,-7.04%,-32.17%
370,Presearch,PRE,5.17 십억,33.34,155.00 백만*,23.25 백만,-2.44%,-7.21%,-14.44%
371,GameCredits,GAME,5.02 십억,71.83,69.84 백만,25.06 백만,-2.10%,-4.82%,-13.26%
372,Bitcoin Green,BITG,4.97 십억,800.49,6.21 백만,5.72 백만,-1.61%,-8.04%,-12.14%
373,QLC Chain,QLC,4.93 십억,20.55,240.00 백만*,253.93 백만,-4.07%,-3.92%,-35.93%
374,SPINDLE,SPD,4.93 십억,1.39,3.55 십억*,10.38 백만,-1.54%,-8.10%,-11.06%
375,SophiaTX,SPHTX,4.90 십억,25.37,193.23 백만*,140.41 백만,-2.14%,-4.17%,-24.53%
376,CPChain,CPC,4.90 십억,13,376.77 백만*,252.41 백만,-3.04%,12.09%,-2.57%
377,Blocktix,TIX,4.89 십억,122.17,40.00 백만* ,426.70 백만,-3.05%,-6.73%,-26.30%
378,BANKEX,BKX,4.84 십억,51.96,93.09 백만*,450.45 백만,-0.05%,3.97%,0.38%
379,PACcoin,$PAC,4.82 십억,0.931252,5.18 십억,47.30 백만,-2.79%,1.76%,-3.15%
380,Rublix,RBLX,4.82 십억,228.93,21.06 백만*,5.69 백만,-2.05%,-3.79%,-2.45%
381,Polybius,PLBT,4.82 십억,1213.37,3.97 백만*,2.94 백만,-8.77%,-8.13%,-6.98%
382,Paragon,PRG,4.80 십억,72.8,65.94 백만*,20.14 백만,-1.67%,19.35%,0.62%
383,Apex,CPX,4.76 십억,10.61,448.27 백만*,376.77 백만,-2.81%,-2.66%,-26.51%
384,Ternio,TERN,4.73 십억,14.15,334.16 백만*,23.65 백만,-2.00%,-11.17%,-6.70%
385,Mothership,MSP,4.71 십억,33.62,140.00 백만*,15.04 백만,-1.29%,-17.00%,-25.10%
386,Flash,FLASH,4.68 십억,5.19,900.00 백만*,1.61 백만,2.84%,1.27%,56.44%
387,ALQO,XLQ,4.67 십억,81.41,57.41 백만,10.45 백만,-1.94%,-10.72%,-19.75%
388,Everex,EVX,4.66 십억,231.99,20.08 백만*,537.77 백만,-2.31%,-5.80%,-23.43%
389,FLO,FLO,4.66 십억,31.28,148.84 백만,68.84 백만,-3.99%,2.44%,14.05%
390,Bit-Z Token,BZ,4.62 십억,102.92,44.91 백만*,36.89 십억,-1.16%,-3.38%,-4.21%
391,Humanscape,HUM,4.62 십억,0.142808,32.32 십억*,23.28 백만,-1.91%,-5.80%,-31.56%
392,Dock,DOCK,4.50 십억,10.38,433.49 백만*,360.96 백만,-2.04%,-6.68%,-24.05%
393,Dignity,DIG,4.48 십억,8.57,523.04 백만*,547.78 백만,-3.29%,-16.38%,-37.53%
394,HalalChain,HLC,4.45 십억,11.43,389.01 백만*,104.30 백만,-0.15%,47.11%,30.99%
395,AirSwap,AST,4.40 십억,29.36,150.00 백만*,542.20 백만,-4.60%,-3.73%,-33.85%
396,Bottos,BTO,4.40 십억,8.63,509.99 백만*,152.39 백만,-4.23%,-6.58%,-29.45%
397,YOYOW,YOYOW,4.37 십억,14.57,300.00 백만*,270.27 백만,-2.05%,-8.82%,-25.65%
398,Primas,PST,4.31 십억,81.78,52.69 백만*,746.94 백만,-21.69%,-16.57%,-29.48%
399,Bitcoin Atom,BCA,4.30 십억,234.15,18.38 백만,68.25 백만,-1.08%,3.10%,-18.73%
400,Bulwark,BWK,4.30 십억,295.94,14.53 백만,9.09 백만,-2.13%,-9.58%,-29.41%
401,AppCoins,APPC,4.28 십억,42.78,100.05 백만*,70.83 백만,-3.36%,-5.30%,-24.72%
402,HorusPay,HORUS,4.27 십억,4.9,872.86 백만*,2.95 백만,-3.54%,-10.87%,-34.60%
403,TE-FOOD,TFD,4.27 십억,8.45,505.58 백만*,7.88 백만,-2.88%,-2.71%,-8.46%
404,Feathercoin,FTC,4.25 십억,19.29,220.24 백만,29.43 백만,-1.08%,-4.19%,-15.83%
405,SpankChain,SPANK,4.25 십억,14.16,300.04 백만*,4.09 백만,1.61%,-18.01%,-52.69%
406,Omnitude,ECOM,4.25 십억,81.63,52.02 백만*,73.15 백만,-3.95%,-0.13%,68.55%
407,Seele,SEELE,4.24 십억,6.26,677.64 백만*,267.19 백만,-0.88%,-5.91%,-19.94%
408,Viberate,VIB,4.23 십억,23.63,179.00 백만*,698.78 백만,-3.55%,-6.30%,-16.09%
409,Robotina,ROX,4.22 십억,15.73,268.56 백만*,15.56 백만,-3.23%,-9.32%,-23.40%
410,Travala.com,AVA,4.21 십억,119.97,35.09 백만*,30.20 백만,-8.15%,-9.85%,-21.79%
411,Melon,MLN,4.20 십억,5401.16,778.24 천*,68.47 백만,-2.02%,-8.16%,-27.65%
412,DECENT,DCT,4.19 십억,81.74,51.31 백만*,232.87 백만,-1.88%,-10.49%,-25.58%
413,Xaurum,XAUR,4.18 십억,43.7,95.66 백만*,13.09 백만,1.25%,-6.74%,-2.54%
414,Etherparty,FUEL,4.18 십억,7.91,528.48 백만*,139.88 백만,-2.91%,-8.09%,-30.70%
415,Numeraire,NMR,4.17 십억,3088,1.35 백만*,6.65 백만,-1.63%,-1.94%,-18.81%
416,TaTaTu,TTU,4.16 십억,42.97,96.73 백만*,24.07 백만,-1.29%,-2.11%,-6.11%
417,Patron,PAT,4.15 십억,16.08,258.31 백만*,42.11 백만,2.99%,-1.73%,-41.44%
418,LATOKEN,LA,4.15 십억,51.26,81.04 백만*,1.46 십억,-1.66%,10.78%,-11.31%
419,Envion,EVN,4.14 십억,37.14,111.37 백만*,5.98 백만,-2.66%,-21.59%,-28.19%
420,Monetha,MTH,4.09 십억,18.74,218.27 백만*,242.92 백만,-3.32%,-11.20%,-24.70%
421,HTMLCOIN,HTML,4.06 십억,0.076562,53.07 십억,10.54 백만,-3.18%,8.89%,-4.93%
422,Aeon,AEON,4.06 십억,256.62,15.83 백만,4.82 백만,-3.38%,-3.83%,-27.08%
423,Bismuth,BIS,4.06 십억,284.7,14.26 백만,8.96 백만,-1.11%,-0.69%,-8.43%
424,Shift,SHIFT,4.02 십억,317.5,12.67 백만 *,8.56 백만,-1.69%,2.92%,-1.27%
425,Unikoin Gold,UKG,4.01 십억,28,143.27 백만*,140.67 백만,-3.10%,-7.24%,-9.38%
426,Mass Vehicle ...,MVL,3.97 십억,0.759454,5.22 십억*,1.19 백만,-2.97%,40.92%,6.10%
427,Moneytoken,IMT,3.96 십억,0.45548,8.69 십억*,63.48 백만,-2.15%,-7.74%,-15.69%
428,Pepe Cash,PEPECASH,3.91 십억,5.56,701.88 백만*,1.12 백만,3.58%,-5.78%,-12.78%
429,DeepBrain Chain,DBC,3.90 십억,2.6,1.50 십억*,186.10 백만,-1.65%,-5.70%,-38.68%
430,Zen Protocol,ZP,3.88 십억,241.76,16.06 백만,394.13 백만,-2.63%,-4.62%,-17.25%
431,ECC,ECC,3.88 십억,0.155065,25.00 십억*,682.13 천,-1.69%,-3.97%,14.71%
432,BlackCoin,BLK,3.81 십억,59.55,63.91 백만*,192.02 백만,-2.81%,5.97%,3.69%
433,Cobinhood,COB,3.81 십억,9.85,386.43 백만*,14.72 백만,-6.10%,-7.51%,-22.17%
434,Synthetix Net...,SNX,3.79 십억,56.38,67.19 백만*,60.28 백만,-3.23%,7.52%,2.87%
435,INO COIN,INO,3.78 십억,189.05,20.00 백만*,2.06 십억,-1.53%,-4.67%,-26.66%
436,BitTube,TUBE,3.76 십억,35.6,105.69 백만,60.57 백만,-1.46%,5.56%,-11.97%
437,KickCoin,KICK,3.70 십억,6.82,542.73 백만*,60.86 백만,-1.47%,-0.08%,-20.78%
438,Digix Gold Token,DGX,3.69 십억,45388.08,81.37 천*,17.96 백만,-2.48%,-2.51%,-0.67%
439,Six Domain Chain,SDA,3.66 십억,5.13,713.59 백만*,56.06 백만,-2.57%,-2.25%,-8.29%
440,RevolutionVR,RVR,3.65 십억,17.37,210.00 백만*,58.33 백만,-1.53%,-3.77%,-13.90%
441,Vipstar Coin,VIPS,3.64 십억,0.109263,33.32 십억*,1.55 십억,1.90%,-0.23%,-30.48%
442,eosDAC,EOSDAC,3.61 십억,5.46,660.76 백만*,45.14 백만,-1.74%,-4.08%,-39.92%
443,Zeepin,ZPT,3.60 십억,7.2,500.00 백만*,99.23 백만,1.35%,0.63%,-19.46%
444,Lamden,TAU,3.58 십억,25.17,142.22 백만*,4.40 백만,-3.31%,-0.73%,-2.76%
445,Everus,EVR,3.57 십억,6.82,522.81 백만*,1.40 백만,6.72%,18.77%,-8.00%
446,Blue Whale Token,BWX,3.56 십억,0.110496,32.21 십억*,45.69 백만,-2.05%,-4.22%,-21.92%
447,adToken,ADT,3.55 십억,5.92,600.00 백만*,156.91 백만,-3.45%,-6.95%,-29.27%
448,Diamond,DMD,3.54 십억,1163.23,3.05 백만,1.64 백만,-1.69%,-4.38%,-18.80%
449,Lunyr,LUN,3.52 십억,1533.64,2.30 백만*,195.29 백만,-3.82%,-4.18%,-27.74%
450,0chain,ZCN,3.51 십억,87.46,40.11 백만*,24.96 백만,-5.29%,-5.15%,-32.60%
451,SafeInsure,SINS,3.49 십억,3322.19,1.05 백만*,227.59 백만,-2.13%,-4.38%,-20.78%
452,SwissBorg,CHSB,3.47 십억,6.02,575.82 백만*,71.96 백만,-2.74%,-4.16%,-16.26%
453,ATN,ATN,3.45 십억,40.97,84.30 백만*,17.90 백만,0.58%,-12.64%,-24.62%
454,Playgroundz,IOG,3.45 십억,120.81,28.55 백만*,271.59 백만,-2.41%,-3.99%,-36.14%
455,Aeron,ARN,3.44 십억,264.24,13.00 백만*,1.36 십억,-1.65%,-6.03%,-23.87%
456,Sentinel Prot...,UPP,3.43 십억,14.9,230.50 백만*,1.04 십억,-1.92%,-7.55%,-33.72%
457,SwftCoin,SWFTC,3.38 십억,0.928258,3.64 십억*,812.31 백만,-1.19%,-6.20%,-23.63%
458,Peerplays,PPY,3.37 십억,750.55,4.49 백만*,186.42 백만,-2.60%,-27.56%,-44.90%
459,WeShow Token,WET,3.36 십억,21.04,159.73 백만*,13.93 백만,12.49%,-2.22%,-35.17%
460,CanonChain,CZR,3.35 십억,6.9,485.87 백만*,15.90 백만,-1.22%,113.71%,42.23%
461,Insureum,ISR,3.35 십억,19.24,174.16 백만*,127.20 백만,-1.69%,20.66%,-3.99%
462,ICE ROCK MINING,ROCK2,3.33 십억,211.88,15.70 백만*,2.15 백만,-2.99%,-1.14%,-23.66%
463,NKN,NKN,3.28 십억,15.34,213.55 백만*,154.99 백만,-2.21%,-6.12%,-39.69%
464,DADI,DADI,3.27 십억,43.69,74.80 백만*,194.94 백만,-1.60%,7.53%,-5.46%
465,Bloom,BLT,3.26 십억,68.12,47.86 백만*,3.06 십억,-5.11%,-30.34%,-11.91%
466,Callisto Network,CLO,3.23 십억,4.21,767.53 백만,159.45 백만,-5.84%,0.64%,-21.45%
467,TV-TWO,TTV,3.23 십억,7.91,407.73 백만*,1.38 백만,-2.99%,8.75%,-9.38%
468,Hi Mutual Soc...,HMC,3.21 십억,7.93,404.10 백만*,78.76 백만,-2.08%,-4.42%,-14.21%
469,MinexCoin,MNX,3.20 십억,680.4,4.71 백만,37.02 백만,-1.73%,-3.00%,-36.33%
470,NANJCOIN,NANJ,3.20 십억,0.165059,19.36 십억*,8.99 백만,-3.04%,-13.55%,-27.43%
471,QunQun,QUN,3.16 십억,4.39,719.83 백만*,159.38 백만,-2.17%,-5.95%,-14.86%
472,SpaceChain,SPC,3.15 십억,6.1,515.92 백만*,73.28 백만,0.70%,0.07%,-19.33%
473,Phore,PHR,3.14 십억,202.88,15.49 백만*,148.50 백만,-1.99%,-15.16%,-16.39%
474,Eden,EDN,3.13 십억,3.82,819.99 백만*,160.79 백만,-1.63%,-5.09%,-18.15%
475,XEL,XEL,3.09 십억,33.73,91.68 백만*,17.62 백만,-2.30%,-9.89%,-17.97%
476,BlockMason Cr...,BCPT,3.09 십억,33.49,92.19 백만*,268.92 백만,-2.27%,-6.64%,-24.92%
477,Graft,GRFT,3.08 십억,7,440.32 백만,15.41 백만,-2.71%,-5.59%,-19.99%
478,Global Curren...,GCR,3.07 십억,29.23,105.07 백만*,2.17 백만,-1.83%,1.98%,-27.31%
479,Blackmoon,BMC,3.06 십억,139.73,21.92 백만*,293.51 백만,-1.53%,2.57%,-18.44%
480,Myriad,XMY,3.05 십억,1.88,1.63 십억,6.84 백만,-0.02%,1.54%,-3.18%
481,Scorum Coins,SCR,3.04 십억,103.85,29.27 백만*,9.44 백만,-3.13%,-2.31%,-22.67%
482,Ink,INK,3.03 십억,6.53,463.91 백만*,3.30 십억,-1.40%,1.66%,-18.06%
483,Business Cred...,BCAC,3.03 십억,6.82,443.79 백만*,152.30 백만,1.96%,-2.91%,-11.40%
484,Smartshare,SSP,3.03 십억,0.660672,4.58 십억*,307.26 백만,-4.91%,-4.35%,64.11%
485,XinFin Network,XDCE,3.02 십억,0.779158,3.88 십억*,343.38 백만,-3.53%,-15.63%,-63.81%
486,MonetaryUnit,MUE,3.02 십억,20.77,145.18 백만,60.25 백만,-5.71%,-3.83%,5.37%
487,Agrello,DLT,3.01 십억,35.04,85.98 백만*,48.46 백만,-1.65%,-6.79%,-31.52%
488,AVINOC,AVINOC,3.01 십억,8,376.40 백만*,761.30 천,-1.43%,-3.68%,-15.72%
489,Polis,POLIS,3.01 십억,627,4.80 백만,10.20 백만,-2.52%,-3.65%,-8.50%
490,Dimecoin,DIME,3.01 십억,0.005584,539.10 십억,2.84 백만,1.09%,-0.71%,-4.29%
491,CEEK VR,CEEK,2.98 십억,4.35,686.20 백만*,29.12 백만,-2.90%,-6.17%,-17.97%
492,Waves Communi...,WCT,2.98 십억,298.76,9.96 백만*,2.60 백만,-1.06%,-9.01%,2.57%
493,ColossusXT,COLX,2.96 십억,0.271139,10.92 십억,1.48 백만,-1.66%,-3.03%,-9.10%
494,Divi,DIVI,2.96 십억,4.14,714.27 백만,15.36 백만,-1.17%,3.63%,-28.12%
495,DxChain Token,DX,2.95 십억,0.19375,15.20 십억*,114.44 백만,-3.04%,2.38%,-17.57%
496,Bean Cash,BITB,2.94 십억,1.12,2.62 십억*,47.83 백만,-3.34%,-9.09%,-30.47%
497,BrahmaOS,BRM,2.94 십억,4.74,619.27 백만*,37.25 백만,-2.82%,-10.43%,-11.94%
